Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-23 16:00:56,29.729047619047623,8.436,724.1321428571429,15.991764705882353,17.411176470588234,53.68818181818181,6.501875
2022-03-23 17:00:56,30.495714285714286,8.946000000000002,802.6078571428571,17.326470588235296,19.21529411764706,52.724545454545456,7.03125
2022-03-23 18:00:56,33.32238095238095,8.916,724.3171428571429,17.93,22.486470588235296,49.98272727272727,7.4975
2022-03-23 19:00:56,37.640952380952385,8.524000000000001,728.2692857142857,18.197058823529414,21.64941176470588,48.89363636363637,7.994375
2022-03-23 20:00:56,39.42333333333333,8.361,743.2514285714286,19.95235294117647,23.64470588235294,47.36454545454546,9.0375
2022-03-23 21:00:56,43.445238095238096,8.24,787.5664285714286,25.592352941176472,34.862941176470585,47.10545454545454,12.880625
2022-03-23 22:00:56,42.97714285714286,8.387,742.5521428571428,27.31235294117647,38.178823529411765,46.10727272727273,10.824375
2022-03-23 23:00:56,38.30571428571428,8.746,734.3385714285714,21.840000000000003,26.40705882352941,46.85090909090909,10.310625
2022-03-24 00:00:56,29.981428571428573,7.867,795.8892857142857,23.225882352941177,28.52529411764706,46.28272727272727,10.157499999999999
2022-03-24 01:00:56,27.387619047619047,8.673,755.8992857142857,21.015882352941176,25.48705882352941,45.025454545454544,9.11
2022-03-24 02:00:56,24.204285714285714,8.697,714.0828571428572,19.258235294117647,22.433529411764706,43.98818181818182,8.873125
2022-03-24 03:00:56,23.095714285714287,7.976999999999999,839.8757142857143,18.416470588235292,18.21294117647059,43.82454545454545,8.656875
2022-03-24 04:00:56,23.884761904761906,8.356,729.39,15.132352941176471,15.796470588235294,39.46727272727273,7.2475
2022-03-24 05:00:56,23.553809523809523,8.291,714.3614285714285,15.286470588235295,18.496470588235294,38.346363636363634,6.8325
2022-03-24 06:00:56,23.393333333333334,7.946,704.5578571428571,17.935882352941174,21.766470588235297,44.07181818181818,6.985
2022-03-24 07:00:56,20.369999999999997,7.419,800.0628571428572,20.191176470588236,26.148235294117647,37.11727272727273,6.655625
2022-03-24 08:00:56,23.944285714285712,8.663,812.8078571428571,34.65294117647059,46.936470588235295,39.18727272727273,8.5875
2022-03-24 09:00:56,33.861428571428576,10.613,905.1428571428571,34.188235294117646,46.01470588235294,40.233636363636364,10.071875
2022-03-24 10:00:56,34.79142857142857,8.504999999999999,833.7107142857142,23.925882352941176,31.35,45.48727272727273,8.545625
2022-03-24 11:00:56,32.2047619047619,8.056000000000001,743.6407142857142,20.37529411764706,25.79176470588235,46.8,8.103125
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
