Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-07-07 21:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-07 22:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-07 23:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-08 00:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-08 01:00:56,0.0,0.0,0.0,0.0,118.27
2018-07-08 02:00:56,0.0,0.0,0.0,0.0,110.19
2018-07-08 03:00:56,0.0,0.0,0.0,0.0,109.54
2018-07-08 04:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-08 05:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-08 06:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-08 07:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-08 08:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-08 09:00:56,0.0,0.0,0.0,0.0,104.84
2018-07-08 10:00:56,0.0,0.0,5.37,5.7,106.96
2018-07-08 11:00:56,0.0,0.0,0.0,0.0,111.42
2018-07-08 12:00:56,0.0,0.0,0.0,0.0,124.14
2018-07-08 13:00:56,0.0,0.0,0.0,0.0,131.73
2018-07-08 14:00:56,0.0,0.0,0.0,0.0,137.56
2018-07-08 15:00:56,0.0,0.0,0.0,0.0,139.13
2018-07-08 16:00:56,0.0,0.0,0.0,0.0,125.5
2018-07-08 17:00:56,0.0,0.0,0.0,0.0,122.82
2018-07-08 18:00:56,0.0,0.0,0.0,0.0,123.13
2018-07-08 19:00:56,0.0,0.0,0.0,0.0,117.81
2018-07-08 20:00:56,0.0,0.0,0.0,0.0,111.71
2018-07-08 21:00:56,0.0,0.0,0.0,0.0,114.05
2018-07-08 22:00:56,0.0,0.0,0.0,0.0,109.1
2018-07-08 23:00:56,0.0,0.0,0.0,0.0,104.7
2018-07-09 00:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-09 01:00:56,0.0,0.0,0.0,0.0,106.4
2018-07-09 02:00:56,0.0,0.0,0.0,0.0,103.85
2018-07-09 03:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-09 04:00:56,0.0,0.0,0.0,0.0,99.24
2018-07-09 05:00:56,0.0,0.0,0.0,0.0,96.08
2018-07-09 06:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-09 07:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-09 08:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-09 09:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-09 10:00:56,0.0,0.0,0.0,0.0,94.29
2018-07-09 11:00:56,0.0,0.0,2.8,2.92,101.08
2018-07-09 12:00:56,0.0,0.0,0.0,0.0,111.11
2018-07-09 13:00:56,0.0,0.0,0.0,0.0,113.56
2018-07-09 14:00:56,0.0,0.0,0.0,0.0,120.36
2018-07-09 15:00:56,0.0,0.0,0.0,0.0,122.42
2018-07-09 16:00:56,0.0,0.0,0.0,0.0,121.19
2018-07-09 17:00:56,0.0,0.0,0.0,0.0,118.91
2018-07-09 18:00:56,0.0,0.0,0.0,0.0,114.97
2018-07-09 19:00:56,0.0,0.0,0.0,0.0,114.98
2018-07-09 20:00:56,0.0,0.0,0.0,0.0,116.5
2018-07-09 21:00:56,0.0,0.0,0.0,0.0,113.24
2018-07-09 22:00:56,0.0,0.0,0.0,0.0,108.29
2018-07-09 23:00:56,0.0,0.0,0.0,0.0,104.17
2018-07-10 00:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-10 01:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-10 02:00:56,0.0,0.0,0.0,0.0,96.45
2018-07-10 03:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-10 04:00:56,0.0,0.0,0.0,0.0,96.0
2018-07-10 05:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-10 06:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-10 07:00:56,0.0,0.0,0.0,0.0,81.39
2018-07-10 08:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-10 09:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-10 10:00:56,0.0,0.0,0.0,0.0,96.48
2018-07-10 11:00:56,0.0,0.0,0.0,0.0,98.41
2018-07-10 12:00:56,0.0,0.0,4.36,5.04,105.49
2018-07-10 13:00:56,0.0,0.0,0.0,0.0,108.46
2018-07-10 14:00:56,0.0,0.0,3.02,3.29,110.57
2018-07-10 15:00:56,0.0,0.0,0.0,0.0,108.61
2018-07-10 16:00:56,0.0,0.0,0.0,0.0,106.81
2018-07-10 17:00:56,0.0,0.0,0.0,0.0,110.71
2018-07-10 18:00:56,8.56,0.0,0.0,0.0,113.21
2018-07-10 19:00:56,0.0,0.0,0.0,0.0,113.01
2018-07-10 20:00:56,0.0,0.0,0.0,0.0,0.0
2018-07-10 21:00:56,0.0,0.0,0.0,0.0,0.0
