Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-03-29 00:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-29 01:00:56,0.0,0.0,865.18,0.0,0.0
2018-03-29 02:00:56,0.0,0.0,787.32,0.0,0.0
2018-03-29 03:00:56,0.0,0.0,802.49,0.0,0.0
2018-03-29 04:00:56,0.0,0.0,814.04,0.0,0.0
2018-03-29 05:00:56,0.0,0.0,758.41,0.0,0.0
2018-03-29 06:00:56,0.0,0.0,777.21,0.0,0.0
2018-03-29 07:00:56,0.0,0.0,743.46,0.0,0.0
2018-03-29 08:00:56,0.0,0.0,754.74,0.0,0.0
2018-03-29 09:00:56,0.0,0.0,935.2,0.0,0.0
2018-03-29 10:00:56,0.0,0.0,980.19,0.0,0.0
2018-03-29 11:00:56,0.0,0.0,1050.08,0.0,0.0
2018-03-29 12:00:56,0.0,0.0,1082.87,0.0,0.0
2018-03-29 13:00:56,0.0,0.0,980.36,0.0,0.0
2018-03-29 14:00:56,0.0,0.0,1009.45,0.0,0.0
2018-03-29 15:00:56,0.0,0.0,1002.9,0.0,0.0
2018-03-29 16:00:56,0.0,0.0,1067.59,0.0,0.0
2018-03-29 17:00:56,0.0,0.0,972.85,0.0,0.0
2018-03-29 18:00:56,0.0,0.0,1003.96,0.0,0.0
2018-03-29 19:00:56,0.0,0.0,1024.42,0.0,0.0
2018-03-29 20:00:56,0.0,0.0,1070.71,0.0,0.0
2018-03-29 21:00:56,0.0,0.0,1152.11,0.0,0.0
2018-03-29 22:00:56,0.0,0.0,1263.46,0.0,0.0
2018-03-29 23:00:56,0.0,0.0,1233.87,0.0,0.0
2018-03-30 00:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-30 01:00:56,0.0,0.0,1726.89,0.0,0.0
2018-03-30 02:00:56,0.0,0.0,2400.0,0.0,0.0
2018-03-30 03:00:56,0.0,0.0,1994.13,0.0,0.0
2018-03-30 04:00:56,0.0,0.0,1224.64,0.0,0.0
2018-03-30 05:00:56,0.0,0.0,1113.27,0.0,0.0
2018-03-30 06:00:56,0.0,0.0,1379.28,0.0,0.0
2018-03-30 07:00:56,0.0,0.0,1542.76,0.0,0.0
2018-03-30 08:00:56,0.0,0.0,1371.11,0.0,0.0
2018-03-30 09:00:56,0.0,0.0,1287.26,0.0,0.0
2018-03-30 10:00:56,0.0,0.0,1223.57,0.0,0.0
2018-03-30 11:00:56,0.0,0.0,1307.5,0.0,0.0
2018-03-30 12:00:56,0.0,0.0,1147.22,0.0,0.0
2018-03-30 13:00:56,0.0,0.0,1004.22,0.0,0.0
2018-03-30 14:00:56,0.0,0.0,1127.23,0.0,0.0
2018-03-30 15:00:56,0.0,0.0,1258.06,0.0,0.0
2018-03-30 16:00:56,0.0,0.0,1361.86,0.0,0.0
2018-03-30 17:00:56,0.0,0.0,1189.22,0.0,0.0
2018-03-30 18:00:56,0.0,0.0,1229.51,0.0,0.0
2018-03-30 19:00:56,0.0,0.0,1199.74,0.0,0.0
2018-03-30 20:00:56,0.0,0.0,1267.61,0.0,0.0
2018-03-30 21:00:56,0.0,0.0,1617.02,0.0,0.0
2018-03-30 22:00:56,0.0,0.0,1456.98,0.0,0.0
2018-03-30 23:00:56,0.0,0.0,2439.97,0.0,0.0
2018-03-31 00:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-31 01:00:56,0.0,0.0,2721.68,0.0,0.0
2018-03-31 02:00:56,0.0,0.0,2757.44,0.0,0.0
2018-03-31 03:00:56,0.0,0.0,1999.93,0.0,0.0
2018-03-31 04:00:56,0.0,0.0,1707.58,0.0,0.0
2018-03-31 05:00:56,0.0,0.0,1445.69,0.0,0.0
2018-03-31 06:00:56,0.0,0.0,1453.38,0.0,0.0
2018-03-31 07:00:56,0.0,0.0,1179.79,0.0,0.0
2018-03-31 08:00:56,0.0,0.0,1042.99,0.0,0.0
2018-03-31 09:00:56,0.0,0.0,1327.49,0.0,0.0
2018-03-31 10:00:56,0.0,0.0,1369.18,0.0,0.0
2018-03-31 11:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-31 12:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-31 13:00:56,0.0,0.0,0.0,0.0,0.0
2018-03-31 14:00:56,0.0,0.0,1187.18,0.0,0.0
2018-03-31 15:00:56,0.0,0.0,1201.99,0.0,0.0
2018-03-31 16:00:56,0.0,0.0,1389.75,0.0,0.0
2018-03-31 17:00:56,0.0,0.0,1262.98,0.0,0.0
2018-03-31 18:00:56,0.0,0.0,1038.1,0.0,0.0
2018-03-31 19:00:56,0.0,0.0,1119.71,0.0,0.0
2018-03-31 20:00:56,0.0,0.0,1350.47,0.0,0.0
2018-03-31 21:00:56,0.0,0.0,1528.5,0.0,0.0
2018-03-31 22:00:56,0.0,0.0,1517.02,0.0,0.0
2018-03-31 23:00:56,0.0,0.0,1181.6,0.0,0.0
2018-04-01 00:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-01 01:00:56,0.0,0.0,1186.58,0.0,0.0
2018-04-01 02:00:56,0.0,0.0,1056.72,0.0,0.0
2018-04-01 03:00:56,0.0,0.0,1010.85,0.0,0.0
2018-04-01 04:00:56,0.0,0.0,930.0,0.0,0.0
2018-04-01 05:00:56,0.0,0.0,878.29,0.0,0.0
2018-04-01 06:00:56,0.0,0.0,962.19,0.0,0.0
2018-04-01 07:00:56,0.0,0.0,871.82,22.0,22.48
2018-04-01 08:00:56,0.0,0.0,792.9,0.0,0.0
2018-04-01 09:00:56,0.0,0.0,777.76,0.0,0.0
2018-04-01 10:00:56,0.0,0.0,846.82,0.0,0.0
2018-04-01 11:00:56,0.0,0.0,844.15,0.0,0.0
2018-04-01 12:00:56,0.0,0.0,797.87,0.0,0.0
2018-04-01 13:00:56,0.0,0.0,833.86,0.0,0.0
2018-04-01 14:00:56,0.0,0.0,806.37,0.0,0.0
2018-04-01 15:00:56,0.0,0.0,847.64,0.0,0.0
2018-04-01 16:00:56,0.0,0.0,916.63,0.0,0.0
2018-04-01 17:00:56,0.0,0.0,844.94,0.0,0.0
2018-04-01 18:00:56,0.0,0.0,855.84,0.0,0.0
2018-04-01 19:00:56,0.0,0.0,869.28,0.0,0.0
2018-04-01 20:00:56,0.0,0.0,976.08,0.0,0.0
2018-04-01 21:00:56,0.0,0.0,935.79,0.0,0.0
2018-04-01 22:00:56,0.0,0.0,1026.76,0.0,0.0
2018-04-01 23:00:56,0.0,0.0,897.74,0.0,0.0
2018-04-02 00:00:56,0.0,0.0,0.0,0.0,0.0
2018-04-02 01:00:56,0.0,0.0,825.63,27.31,0.0
2018-04-02 02:00:56,0.0,0.0,825.39,24.72,0.0
2018-04-02 03:00:56,0.0,0.0,724.27,15.93,0.0
2018-04-02 04:00:56,0.0,0.0,781.36,25.21,0.0
2018-04-02 05:00:56,0.0,0.0,731.13,17.32,0.0
2018-04-02 06:00:56,0.0,0.0,709.12,14.16,0.0
2018-04-02 07:00:56,0.0,0.0,743.15,0.0,0.0
2018-04-02 08:00:56,0.0,0.0,784.82,0.0,0.0
2018-04-02 09:00:56,0.0,0.0,1056.13,0.0,0.0
2018-04-02 10:00:56,0.0,0.0,1352.46,0.0,0.0
2018-04-02 11:00:56,0.0,0.0,1145.04,0.0,0.0
2018-04-02 12:00:56,0.0,0.0,1008.04,0.0,0.0
2018-04-02 13:00:56,0.0,0.0,1049.61,0.0,0.0
2018-04-02 14:00:56,0.0,0.0,1060.19,0.0,0.0
2018-04-02 15:00:56,0.0,0.0,1115.47,0.0,0.0
2018-04-02 16:00:56,0.0,0.0,1139.81,0.0,0.0
2018-04-02 17:00:56,0.0,0.0,1185.03,0.0,0.0
2018-04-02 18:00:56,0.0,0.0,1150.1,0.0,0.0
2018-04-02 19:00:56,0.0,0.0,1206.81,0.0,0.0
2018-04-02 20:00:56,0.0,0.0,1002.6,0.0,0.0
2018-04-02 21:00:56,0.0,0.0,1092.24,0.0,0.0
2018-04-02 22:00:56,0.0,0.0,1020.61,0.0,0.0
2018-04-02 23:00:56,0.0,0.0,1324.89,0.0,0.0
