Tarih,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-03-06 00:00:56,"142,11",-,"9,86",-,"69,78","158,14",-
2019-03-06 01:00:56,"122,55",-,"6,35",-,"48,63","139,12",-
2019-03-06 02:00:56,"139,84",-,"4,59",-,"44,93","139,87",-
2019-03-06 03:00:56,"141,26",-,"4,63",-,"40,96","107,58",-
2019-03-06 04:00:56,"109,37",-,"5,04",-,"45,10","189,64",-
2019-03-06 05:00:56,"105,47",-,"4,47",-,"49,59","208,37",-
2019-03-06 06:00:56,"104,04",-,"4,29",-,"42,55","157,11",-
2019-03-06 07:00:56,"103,23",-,"3,53",-,"44,58","170,71",-
2019-03-06 08:00:56,"98,76",-,"6,08",-,"38,66","121,79",-
2019-03-06 09:00:56,"97,73",-,"5,31",-,"40,96","217,61",-
2019-03-06 10:00:56,"126,59",-,"7,26",-,"55,74","381,80",-
2019-03-06 11:00:56,"166,19",-,"7,62",-,"48,09","261,63",-
2019-03-06 12:00:56,"173,10",-,"16,59",-,"54,66","212,07",-
2019-03-06 13:00:56,"179,18",-,"23,68",-,"59,73","183,52",-
2019-03-06 14:00:56,"175,90",-,"21,16",-,"69,19","280,05",-
2019-03-06 15:00:56,"181,45",-,"14,96",-,"65,42","268,42",-
2019-03-06 16:00:56,"186,82",-,"20,52",-,"68,74","218,97",-
2019-03-06 17:00:56,"161,17",-,"24,30",-,"59,85","142,12",-
2019-03-06 18:00:56,"121,77",-,"16,96",-,"42,17","69,82",-
2019-03-06 19:00:56,"109,17",-,"19,25",-,"52,73","93,68",-
2019-03-06 20:00:56,"127,67",-,"15,80",-,"60,47","108,96",-
2019-03-06 21:00:56,"126,56",-,"10,05",-,"57,38","133,45",-
2019-03-06 22:00:56,"115,01",-,"6,30",-,"64,35","170,50",-
2019-03-06 23:00:56,"82,45",-,"5,11",-,"45,85","89,73",-
2019-03-07 00:00:56,"47,48",-,"4,83",-,"48,51","79,46",-
2019-03-07 01:00:56,"31,46",-,"3,43",-,"43,23","68,63",-
2019-03-07 02:00:56,"37,23",-,"3,09",-,"59,34","184,81",-
2019-03-07 03:00:56,"39,28",-,"2,47",-,"52,47","211,07",-
2019-03-07 04:00:56,"37,95",-,"1,60",-,"41,97","124,13",-
2019-03-07 05:00:56,"40,66",-,"1,40",-,"37,65","172,28",-
2019-03-07 06:00:56,"39,35",-,"1,00",-,"35,11","102,68",-
2019-03-07 07:00:56,"37,85",-,"0,90",-,"35,43","109,31",-
2019-03-07 08:00:56,"35,45",-,"1,00",-,"35,67","187,27",-
2019-03-07 09:00:56,"34,96",-,"0,05",-,"45,69","138,41",-
2019-03-07 10:00:56,"34,59",-,"0,53",-,"41,75","222,75",-
2019-03-07 11:00:56,"38,35",-,"3,33",-,"31,92","99,24",-
2019-03-07 12:00:56,"43,47",-,"10,19",-,"45,78","110,75",-
2019-03-07 13:00:56,"48,43",-,-,-,"30,69",-,-
2019-03-07 14:00:56,-,-,-,-,-,-,-
2019-03-07 15:00:56,"27,71",-,-,-,"7,06",-,-
2019-03-07 16:00:56,"29,87",-,"1,93",-,"10,43","23,41",-
2019-03-07 17:00:56,"35,12",-,"1,92",-,"19,49","35,19",-
2019-03-07 18:00:56,"37,84",-,"1,71",-,"18,91","32,81",-
2019-03-07 19:00:56,"42,18",-,"1,58",-,"18,99","31,12",-
2019-03-07 20:00:56,"55,27",-,"3,66",-,"47,97","72,94",-
2019-03-07 21:00:56,"66,74",-,"3,12",-,"27,62","47,15",-
2019-03-07 22:00:56,"65,47",-,"1,83",-,"26,04","37,94",-
2019-03-07 23:00:56,"70,20",-,"2,01",-,"44,13","93,96",-
2019-03-08 00:00:56,"93,65",-,"1,14",-,"41,18","74,47",-
2019-03-08 01:00:56,"93,40",-,"0,93",-,"44,49","100,51",-
2019-03-08 02:00:56,"86,46",-,"1,33",-,"37,49","86,35",-
2019-03-08 03:00:56,"69,23",-,"0,41",-,"22,09","40,52",-
2019-03-08 04:00:56,"52,02",-,"0,96",-,"21,69","35,14",-
2019-03-08 05:00:56,"42,00",-,"0,67",-,"20,92","38,97",-
2019-03-08 06:00:56,"43,49",-,"0,56",-,"16,57","29,11",-
2019-03-08 07:00:56,"39,43",-,"0,74",-,"23,86","50,46",-
