Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 ),PM10 ( l/dk ),PM 2.5 ( l/dk ),SO2 ( mg/m3 ),CO ( mg/m3 ),NO2 ( mg/m3 ),NOX ( mg/m3 ),O3 ( mg/m3 )
2022-03-23 16:00:56,68.268,4.293333333333334,9.476,1136.3166666666668,37.026666666666664,38.57,71.84333333333333,34.63,0.0,13.58,1121.98,0.0,0.0,89.23
2022-03-23 17:00:56,80.22999999999999,10.18,8.562000000000001,1146.4666666666665,43.41,55.06666666666666,72.67333333333333,39.56,0.0,12.18,1148.3,0.0,0.0,89.24
2022-03-23 18:00:56,83.79,7.336666666666666,12.47,1198.0366666666666,53.663333333333334,68.25666666666667,68.03333333333333,46.14,0.0,10.61,1136.94,0.0,0.0,90.56
2022-03-23 19:00:56,108.16,3.0066666666666664,17.47,1265.3533333333335,58.27333333333333,75.94333333333334,24.24,54.67,0.0,8.35,1235.3,0.0,0.0,84.88
2022-03-23 20:00:56,110.30199999999999,10.736666666666666,20.204,1264.1566666666668,20.68,23.583333333333332,62.593333333333334,61.38,0.0,9.41,1322.81,0.0,0.0,83.5
2022-03-23 21:00:56,83.48599999999999,10.94,21.912,1271.3933333333334,50.91,61.14333333333334,64.40333333333332,68.07,0.0,8.25,1301.36,0.0,0.0,77.5
2022-03-23 22:00:56,71.30600000000001,10.586666666666666,14.528,779.48,12.39,13.796666666666667,66.61333333333333,76.42,0.0,7.8,1319.47,0.0,0.0,80.54
2022-03-23 23:00:56,50.444,9.94,12.632,1230.6499999999999,38.75666666666667,46.36666666666667,67.55333333333333,49.38,0.0,8.35,1354.22,0.0,0.0,84.7
2022-03-24 00:00:56,46.284000000000006,9.78,13.562000000000001,782.1366666666667,11.073333333333332,13.26,65.40333333333334,43.28,0.0,9.27,1314.19,0.0,0.0,85.71
2022-03-24 01:00:56,47.532,9.88,13.780000000000001,1185.54,30.473333333333333,33.9,63.583333333333336,40.7,0.0,6.54,1146.76,0.0,0.0,84.34
2022-03-24 02:00:56,33.730000000000004,10.71,15.522,783.7666666666668,10.586666666666666,11.979999999999999,63.39000000000001,37.21,0.0,7.99,1155.32,0.0,0.0,82.05
2022-03-24 03:00:56,39.762,9.786666666666667,13.256,1112.8866666666668,8.063333333333333,9.123333333333333,63.54666666666666,33.31,0.0,7.11,1123.53,0.0,0.0,82.45
2022-03-24 04:00:56,29.088,4.94,11.724,756.5466666666666,7.796666666666667,8.953333333333333,61.776666666666664,36.64,0.0,7.56,1124.36,0.0,0.0,78.75
2022-03-24 05:00:56,28.163999999999998,8.71,10.728,1084.91,8.6,9.9,60.99,35.98,0.0,7.76,1164.25,0.0,0.0,69.15
2022-03-24 06:00:56,26.727999999999998,7.396666666666666,12.788,757.5233333333334,8.486666666666666,9.643333333333333,59.473333333333336,48.35,0.0,7.69,1235.56,0.0,0.0,58.81
2022-03-24 07:00:56,34.25,8.356666666666667,14.924000000000001,1113.2766666666666,12.563333333333333,7.386666666666667,54.10333333333333,42.08,0.0,8.01,1189.67,0.0,0.0,57.9
2022-03-24 08:00:56,33.339999999999996,10.920000000000002,7.343999999999999,1187.98,42.39,58.550000000000004,48.34666666666667,40.16,0.0,9.5,1252.58,0.0,0.0,49.55
2022-03-24 09:00:56,69.468,13.86,18.52,1318.7,65.49333333333334,75.40333333333334,39.913333333333334,53.04,0.0,10.21,1281.88,0.0,0.0,36.61
2022-03-24 10:00:56,91.142,12.663333333333334,16.424,1240.3,52.66,63.06666666666667,47.36333333333334,64.56,0.0,14.39,1300.09,0.0,0.0,47.83
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
