Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),SO2 ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,65.27857142857142,30.153333333333336,933.1,13.25,23.405,5.978333333333334,73.19800000000001
2022-03-23 17:00:56,41.79714285714285,7.743333333333333,907.8340000000001,11.15,19.275000000000002,7.706666666666667,73.394
2022-03-23 18:00:56,41.46,7.113333333333333,968.5880000000001,15.983333333333333,27.685000000000002,8.043333333333333,69.988
2022-03-23 19:00:56,49.521428571428565,10.523333333333333,1026.032,18.936666666666667,31.175,13.005,66.67999999999999
2022-03-23 20:00:56,42.33714285714286,12.026666666666666,993.35,19.650000000000002,34.65833333333333,10.74,65.914
2022-03-23 21:00:56,35.64714285714286,13.01,1071.646,18.513333333333332,31.021666666666665,15.101666666666667,62.733999999999995
2022-03-23 22:00:56,29.424285714285713,14.493333333333332,1195.85,15.76,25.72666666666667,15.606666666666667,58.052
2022-03-23 23:00:56,30.37857142857143,15.306666666666667,1244.5040000000001,17.598333333333333,26.246666666666666,19.641666666666666,54.29200000000001
2022-03-24 00:00:56,37.65428571428572,19.326666666666664,1188.01,15.450000000000001,24.17833333333333,13.196666666666667,54.15599999999999
2022-03-24 01:00:56,29.618571428571425,18.52,1097.368,20.298333333333332,29.02,16.093333333333334,46.492000000000004
2022-03-24 02:00:56,42.88428571428572,21.853333333333335,1066.474,19.756666666666664,28.47333333333333,16.478333333333335,44.878
2022-03-24 03:00:56,43.529999999999994,14.306666666666667,1063.278,16.546666666666667,24.72,13.299999999999999,47.470000000000006
2022-03-24 04:00:56,39.691428571428574,11.376666666666667,984.9960000000001,17.349999999999998,25.14833333333333,11.798333333333332,44.122
2022-03-24 05:00:56,41.44857142857143,16.516666666666666,1052.408,16.651666666666667,25.096666666666664,10.803333333333335,43.977999999999994
2022-03-24 06:00:56,45.847142857142856,25.650000000000002,1167.972,20.145,28.580000000000002,16.905,38.76
2022-03-24 07:00:56,37.92857142857143,27.183333333333334,1217.774,24.541666666666668,34.59166666666667,14.485000000000001,37.04600000000001
2022-03-24 08:00:56,44.871428571428574,22.290000000000003,1238.764,28.493333333333336,42.461666666666666,27.265,36.06
2022-03-24 09:00:56,60.082857142857144,26.96666666666667,1542.6560000000002,33.03333333333333,48.94166666666666,48.61666666666667,35.257999999999996
2022-03-24 10:00:56,70.55142857142857,37.50666666666667,1226.632,20.908333333333335,32.21333333333333,39.358333333333334,46.376
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
