Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2021-02-20 13:00:56,154.0,21.6,921.98,0.0,0.0
2021-02-20 14:00:56,154.0,23.84,905.48,0.0,0.0
2021-02-20 15:00:56,175.79,18.29,850.72,0.0,0.0
2021-02-20 16:00:56,188.92,16.14,891.03,0.0,0.0
2021-02-20 17:00:56,177.53,21.06,910.11,0.0,0.0
2021-02-20 18:00:56,155.98,16.14,856.53,0.0,0.0
2021-02-20 19:00:56,172.06,17.72,954.97,0.0,0.0
2021-02-20 20:00:56,227.54,23.2,1034.09,0.0,0.0
2021-02-20 21:00:56,256.06,30.24,1173.78,0.0,0.0
2021-02-20 22:00:56,258.0,36.48,1515.36,0.0,0.0
2021-02-20 23:00:56,258.0,39.17,2121.75,0.0,0.0
2021-02-21 00:00:56,258.0,45.17,2499.7,0.0,0.0
2021-02-21 01:00:56,258.0,39.52,1703.29,0.0,0.0
2021-02-21 02:00:56,258.0,26.18,1095.77,0.0,0.0
2021-02-21 03:00:56,258.0,16.62,784.42,0.0,0.0
2021-02-21 04:00:56,258.0,11.26,675.02,0.0,0.0
2021-02-21 05:00:56,258.0,12.34,690.97,0.0,0.0
2021-02-21 06:00:56,258.0,11.74,684.33,0.0,0.0
2021-02-21 07:00:56,258.0,13.14,714.35,0.0,0.0
2021-02-21 08:00:56,258.0,20.55,836.68,0.0,0.0
2021-02-21 09:00:56,258.0,22.44,882.41,0.0,0.0
2021-02-21 10:00:56,258.0,21.14,879.14,0.0,0.0
2021-02-21 11:00:56,258.0,19.71,789.86,0.0,0.0
2021-02-21 12:00:56,258.0,18.56,773.43,0.0,0.0
2021-02-21 13:00:56,258.0,17.05,783.8,0.0,0.0
2021-02-21 14:00:56,264.32,19.12,743.34,0.0,0.0
2021-02-21 15:00:56,211.18,13.54,748.54,0.0,0.0
2021-02-21 16:00:56,179.69,9.82,737.22,0.0,0.0
2021-02-21 17:00:56,171.71,9.42,730.47,0.0,0.0
2021-02-21 18:00:56,144.62,11.02,796.48,0.0,0.0
2021-02-21 19:00:56,79.28,11.23,805.19,0.0,0.0
2021-02-21 20:00:56,124.05,17.2,869.59,0.0,0.0
2021-02-21 21:00:56,162.56,13.73,977.21,0.0,0.0
2021-02-21 22:00:56,174.9,18.4,1182.68,0.0,0.0
2021-02-21 23:00:56,174.9,15.56,895.83,0.0,0.0
2021-02-22 00:00:56,174.9,14.37,860.17,0.0,0.0
2021-02-22 01:00:56,174.9,13.11,825.76,0.0,0.0
2021-02-22 02:00:56,174.9,13.94,935.65,0.0,0.0
2021-02-22 03:00:56,174.9,10.69,748.87,0.0,0.0
2021-02-22 04:00:56,174.9,9.76,802.62,0.0,0.0
2021-02-22 05:00:56,174.9,10.21,773.0,0.0,0.0
2021-02-22 06:00:56,174.9,14.63,844.69,0.0,0.0
2021-02-22 07:00:56,174.9,15.02,951.99,0.0,0.0
2021-02-22 08:00:56,174.9,17.0,1072.13,0.0,0.0
2021-02-22 09:00:56,174.9,21.75,1393.31,0.0,0.0
2021-02-22 10:00:56,174.9,24.55,1641.49,0.0,0.0
2021-02-22 11:00:56,174.9,24.43,1597.24,0.0,0.0
2021-02-22 12:00:56,174.9,29.04,1708.23,0.0,0.0
2021-02-22 13:00:56,174.9,30.74,1534.09,0.0,0.0
2021-02-22 14:00:56,232.65,28.52,1383.46,0.0,0.0
2021-02-22 15:00:56,287.37,17.59,1199.62,0.0,0.0
2021-02-22 16:00:56,227.91,10.91,1072.24,0.0,0.0
2021-02-22 17:00:56,204.2,8.93,979.18,0.0,0.0
2021-02-22 18:00:56,165.23,9.66,900.13,0.0,0.0
2021-02-22 19:00:56,140.42,12.2,992.73,0.0,0.0
2021-02-22 20:00:56,150.84,16.73,1116.56,0.0,0.0
2021-02-22 21:00:56,208.83,21.87,1284.13,0.0,0.0
2021-02-22 22:00:56,208.01,18.27,1491.25,0.0,0.0
2021-02-22 23:00:56,269.97,24.16,2034.29,0.0,0.0
2021-02-23 00:00:56,275.0,32.51,2596.89,0.0,0.0
2021-02-23 01:00:56,275.0,57.36,2935.03,0.0,0.0
2021-02-23 02:00:56,275.0,50.3,2641.74,0.0,0.0
2021-02-23 03:00:56,275.0,40.92,2295.66,0.0,0.0
2021-02-23 04:00:56,275.0,32.97,1519.63,0.0,0.0
2021-02-23 05:00:56,275.0,27.3,1252.0,0.0,0.0
2021-02-23 06:00:56,275.0,24.85,1180.96,0.0,0.0
2021-02-23 07:00:56,275.0,22.67,1143.76,0.0,0.0
2021-02-23 08:00:56,275.0,23.25,1224.79,0.0,0.0
2021-02-23 09:00:56,275.0,30.53,1884.62,0.0,0.0
2021-02-23 10:00:56,275.0,32.49,1675.76,0.0,0.0
2021-02-23 11:00:56,275.0,33.82,1849.82,0.0,0.0
2021-02-23 12:00:56,275.0,39.65,1865.11,0.0,0.0
2021-02-23 13:00:56,275.0,39.15,1650.67,0.0,0.0
2021-02-23 14:00:56,328.13,35.86,1373.25,0.0,0.0
2021-02-23 15:00:56,355.62,28.0,1180.5,0.0,0.0
2021-02-23 16:00:56,381.67,24.16,1161.04,0.0,0.0
2021-02-23 17:00:56,351.97,22.42,1173.59,0.0,0.0
2021-02-23 18:00:56,297.0,19.8,1191.01,0.0,0.0
2021-02-23 19:00:56,219.64,19.61,1201.55,0.0,0.0
2021-02-23 20:00:56,288.62,31.9,1897.35,0.0,0.0
2021-02-23 21:00:56,340.41,32.58,2305.66,0.0,0.0
2021-02-23 22:00:56,430.92,34.08,2258.95,0.0,0.0
2021-02-23 23:00:56,408.94,37.59,2683.24,0.0,0.0
2021-02-24 00:00:56,474.58,46.78,2676.44,0.0,0.0
2021-02-24 01:00:56,451.0,29.54,2047.93,0.0,0.0
2021-02-24 02:00:56,440.0,27.68,2335.06,0.0,0.0
2021-02-24 03:00:56,440.0,28.59,2349.5,0.0,0.0
2021-02-24 04:00:56,440.0,40.36,2342.58,0.0,0.0
2021-02-24 05:00:56,440.0,31.6,2200.34,0.0,0.0
2021-02-24 06:00:56,440.0,36.85,2514.33,0.0,0.0
2021-02-24 07:00:56,440.0,32.95,1825.77,0.0,0.0
2021-02-24 08:00:56,440.0,28.91,1711.96,0.0,0.0
2021-02-24 09:00:56,440.0,23.45,1288.5,0.0,0.0
2021-02-24 10:00:56,440.0,25.91,2053.97,0.0,0.0
2021-02-24 11:00:56,440.0,36.39,2208.91,0.0,0.0
2021-02-24 12:00:56,440.0,41.76,1954.13,0.0,0.0
2021-02-24 13:00:56,388.66,32.72,1405.18,0.0,0.0
2021-02-24 14:00:56,291.76,17.9,1111.37,0.0,0.0
2021-02-24 15:00:56,235.67,9.25,1085.33,0.0,0.0
2021-02-24 16:00:56,230.08,12.23,1080.2,0.0,0.0
2021-02-24 17:00:56,220.36,12.42,1069.41,0.0,0.0
2021-02-24 18:00:56,227.46,16.67,1254.58,0.0,0.0
2021-02-24 19:00:56,232.03,21.03,1236.17,0.0,0.0
2021-02-24 20:00:56,190.16,19.45,1194.05,0.0,0.0
2021-02-24 21:00:56,168.76,16.76,1112.32,0.0,0.0
2021-02-24 22:00:56,133.78,12.23,1030.27,0.0,0.0
2021-02-24 23:00:56,136.16,7.65,828.94,0.0,0.0
