Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,59.65,27.02,42.14,51.43,71.24
2022-03-23 17:00:56,60.98,31.89,31.05,47.78,68.34
2022-03-23 18:00:56,50.15,23.83,32.85,60.45,81.03
2022-03-23 19:00:56,57.24,20.54,30.96,81.91,104.46
2022-03-23 20:00:56,57.59,13.53,26.7,101.39,130.86
2022-03-23 21:00:56,64.72,18.56,22.58,77.62,100.95
2022-03-23 22:00:56,56.48,14.36,19.94,70.52,89.12
2022-03-23 23:00:56,51.66,15.62,18.11,59.02,77.37
2022-03-24 00:00:56,57.99,16.59,18.06,76.6,95.41
2022-03-24 01:00:56,58.7,25.07,17.72,72.11,91.6
2022-03-24 02:00:56,43.59,33.48,15.75,52.32,69.35
2022-03-24 03:00:56,36.45,23.85,13.43,40.29,56.97
2022-03-24 04:00:56,32.82,20.44,16.35,39.95,55.63
2022-03-24 05:00:56,25.08,17.0,15.8,45.08,61.38
2022-03-24 06:00:56,33.28,12.3,15.85,41.42,58.2
2022-03-24 07:00:56,28.93,20.57,15.4,40.4,57.23
2022-03-24 08:00:56,31.62,27.46,16.78,54.64,78.33
2022-03-24 09:00:56,44.67,27.14,19.3,57.35,89.29
2022-03-24 10:00:56,60.58,31.73,21.43,47.01,72.56
2022-03-24 11:00:56,70.33,27.61,21.33,37.79,58.15
2022-03-24 12:00:56,59.23,27.89,20.97,33.42,52.31
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0
