Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,82.77,39.44,727.23,66.65,79.28
2022-03-23 17:00:56,92.04,30.26,703.07,64.79,76.54
2022-03-23 18:00:56,90.51,20.79,1109.69,90.99,115.52
2022-03-23 19:00:56,93.93,20.03,1563.73,120.63,178.63
2022-03-23 20:00:56,109.14,35.11,1634.38,133.63,202.84
2022-03-23 21:00:56,135.34,36.69,1308.93,123.02,179.42
2022-03-23 22:00:56,135.82,26.0,1297.73,125.64,173.99
2022-03-23 23:00:56,110.23,21.48,1233.77,108.05,140.17
2022-03-24 00:00:56,102.51,34.42,1357.06,117.04,151.03
2022-03-24 01:00:56,111.07,47.0,1400.49,112.73,146.41
2022-03-24 02:00:56,109.51,40.38,893.67,90.56,108.47
2022-03-24 03:00:56,93.04,32.71,580.34,74.72,84.88
2022-03-24 04:00:56,73.05,23.82,663.67,64.26,72.8
2022-03-24 05:00:56,71.53,20.57,807.11,65.33,74.51
2022-03-24 06:00:56,62.56,19.06,823.98,58.28,67.33
2022-03-24 07:00:56,59.3,24.44,816.65,67.02,80.14
2022-03-24 08:00:56,66.23,31.94,809.61,95.3,121.6
2022-03-24 09:00:56,98.45,39.78,1047.16,107.96,145.68
2022-03-24 10:00:56,128.62,43.47,727.53,95.49,123.09
2022-03-24 11:00:56,108.11,36.92,728.09,84.62,107.58
2022-03-24 12:00:56,93.54,26.64,651.93,86.23,109.87
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0
