Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 )
2022-03-23 16:00:56,51.39666666666667,17.57,27.8,35.446666666666665,74.44,27.205,273.375
2022-03-23 17:00:56,46.45666666666667,16.026666666666667,25.746666666666666,33.69,71.22,20.9,272.615
2022-03-23 18:00:56,43.723333333333336,15.606666666666667,25.316666666666666,33.07666666666666,68.11,17.439999999999998,262.045
2022-03-23 19:00:56,37.49333333333333,15.096666666666666,30.97,39.82666666666667,59.535,15.215,339.28
2022-03-23 20:00:56,35.406666666666666,14.82,30.366666666666664,38.68666666666667,56.61,13.71,369.58
2022-03-23 21:00:56,33.766666666666666,15.093333333333334,32.916666666666664,42.04666666666667,51.72,11.575,373.72
2022-03-23 22:00:56,32.02666666666667,15.39,29.189999999999998,35.81,39.81,12.7,395.61
2022-03-23 23:00:56,37.623333333333335,16.293333333333333,39.303333333333335,48.03666666666667,43.98,10.879999999999999,412.56
2022-03-24 00:00:56,42.13333333333333,15.756666666666666,34.163333333333334,41.373333333333335,42.18,10.605,369.24
2022-03-24 01:00:56,39.88,15.203333333333333,33.440000000000005,41.52666666666667,46.54,13.82,391.18
2022-03-24 02:00:56,42.07,15.450000000000001,32.766666666666666,41.026666666666664,42.86,16.15,415.38
2022-03-24 03:00:56,45.38666666666666,15.556666666666667,27.723333333333333,32.916666666666664,32.13,19.005,362.87
2022-03-24 04:00:56,41.88,15.183333333333335,22.373333333333335,27.416666666666668,25.245,23.34,359.545
2022-03-24 05:00:56,41.49,14.51,18.013333333333332,22.92,39.77,20.455,240.35
2022-03-24 06:00:56,40.61000000000001,14.226666666666667,15.803333333333333,19.666666666666668,51.335,20.96,216.055
2022-03-24 07:00:56,35.04,14.19,16.53,20.116666666666667,54.32,19.185000000000002,232.03
2022-03-24 08:00:56,33.99,14.18,22.183333333333334,27.36,42.67,16.57,280.01
2022-03-24 09:00:56,35.330000000000005,14.346666666666666,39.24666666666666,55.443333333333335,38.75,14.280000000000001,326.155
2022-03-24 10:00:56,31.646666666666665,14.450000000000001,41.57,59.153333333333336,39.855,20.905,439.005
2022-03-24 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
