Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,30.4175,16.993333333333336,20.176666666666666,477.9166666666667,15.950000000000001,19.063333333333333,71.17
2022-03-23 17:00:56,29.432499999999997,17.55333333333333,16.94666666666667,492.54333333333335,16.646666666666665,19.19333333333333,68.14
2022-03-23 18:00:56,29.9,17.723333333333333,12.333333333333334,487.94,18.573333333333334,13.81,70.4
2022-03-23 19:00:56,31.92,17.953333333333333,11.913333333333334,499.37000000000006,24.706666666666667,27.27333333333333,68.22
2022-03-23 20:00:56,31.5925,19.093333333333334,11.603333333333333,536.3866666666667,27.496666666666666,28.58666666666667,59.24
2022-03-23 21:00:56,34.7325,19.38,10.166666666666666,552.5566666666666,26.106666666666666,27.23,59.58
2022-03-23 22:00:56,30.5525,19.45,11.25,546.51,26.073333333333334,27.28333333333333,53.57
2022-03-23 23:00:56,28.9675,19.61,12.63,556.41,25.576666666666668,26.646666666666665,56.32
2022-03-24 00:00:56,27.235,19.24,15.839999999999998,555.2133333333333,28.209999999999997,29.64,53.51
2022-03-24 01:00:56,25.8675,18.843333333333334,13.833333333333334,500.98,14.209999999999999,14.856666666666667,57.77
2022-03-24 02:00:56,23.3825,18.72,10.88,488.8733333333333,13.716666666666667,14.216666666666669,51.73
2022-03-24 03:00:56,18.0975,14.219999999999999,9.323333333333332,244.48333333333335,4.3500000000000005,0.0,0.0
2022-03-24 04:00:56,15.43,13.363333333333335,14.336666666666666,242.92999999999998,3.65,3.7066666666666666,57.84
2022-03-24 05:00:56,16.4375,12.806666666666667,11.606666666666667,233.92333333333332,3.83,3.8866666666666667,56.26
2022-03-24 06:00:56,15.82,12.456666666666669,9.456666666666667,225.1966666666667,3.6733333333333333,3.736666666666667,53.84
2022-03-24 07:00:56,15.8125,12.206666666666669,9.196666666666667,226.64999999999998,3.4066666666666667,0.0,56.6
2022-03-24 08:00:56,15.73,12.166666666666666,8.113333333333333,251.19666666666663,17.38,17.953333333333333,49.62
2022-03-24 09:00:56,16.305,12.160000000000002,7.010000000000001,253.96,15.976666666666667,17.44,48.61
2022-03-24 10:00:56,18.815,12.343333333333334,8.903333333333334,248.64999999999998,14.193333333333333,15.553333333333333,50.6
2022-03-24 11:00:56,18.85,13.07,7.4700000000000015,230.88333333333333,9.323333333333332,10.963333333333333,62.3
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
