Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,22.32,5.52,207.88,2.98,3.01,94.23
2022-03-23 17:00:56,18.17,6.86,201.27,2.83,2.86,94.2
2022-03-23 18:00:56,17.83,6.08,216.43,3.01,3.03,91.37
2022-03-23 19:00:56,15.25,4.94,207.23,2.88,2.9,88.52
2022-03-23 20:00:56,14.84,4.85,202.58,2.64,2.65,66.29
2022-03-23 21:00:56,12.69,4.37,202.87,0.0,0.0,58.8
2022-03-23 22:00:56,8.76,3.62,278.24,4.46,4.63,56.97
2022-03-23 23:00:56,6.16,3.15,192.74,2.53,0.0,56.46
2022-03-24 00:00:56,4.72,2.89,290.33,19.66,26.16,41.98
2022-03-24 01:00:56,3.63,2.76,192.7,4.2,4.41,44.7
2022-03-24 02:00:56,3.21,2.6,208.54,0.0,0.0,55.78
2022-03-24 03:00:56,2.72,2.47,209.18,5.43,5.64,56.49
2022-03-24 04:00:56,2.42,2.44,252.81,7.42,8.27,51.55
2022-03-24 05:00:56,2.09,2.47,233.67,4.73,4.98,45.66
2022-03-24 06:00:56,1.92,2.46,233.91,4.89,5.1,49.76
2022-03-24 07:00:56,2.39,2.47,234.29,5.03,5.25,42.1
2022-03-24 08:00:56,4.68,2.68,240.92,5.0,5.29,42.71
2022-03-24 09:00:56,5.38,2.81,247.63,5.35,5.74,53.37
2022-03-24 10:00:56,4.99,2.83,253.02,5.75,6.21,56.12
2022-03-24 11:00:56,4.39,2.82,262.65,5.76,6.35,63.06
2022-03-24 12:00:56,7.77,2.77,259.65,5.6,6.13,74.95
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
