Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-03-29 00:00:56,146.16,19.19,26.9,3.77,6.6
2018-03-29 01:00:56,141.27,19.94,18.5,3.95,6.75
2018-03-29 02:00:56,134.92,16.65,11.88,3.39,6.14
2018-03-29 03:00:56,127.28,18.62,6.64,2.48,5.23
2018-03-29 04:00:56,91.82,23.2,3.77,1.72,4.45
2018-03-29 05:00:56,68.46,20.85,2.99,1.42,4.14
2018-03-29 06:00:56,56.7,17.25,2.56,1.33,4.1
2018-03-29 07:00:56,56.24,9.93,1.42,1.32,4.13
2018-03-29 08:00:56,48.63,7.73,1.06,2.94,5.89
2018-03-29 09:00:56,43.97,9.81,0.41,3.6,6.66
2018-03-29 10:00:56,46.23,14.62,0.77,4.79,8.35
2018-03-29 11:00:56,48.95,14.33,1.92,3.64,6.91
2018-03-29 12:00:56,35.89,8.04,0.0,2.52,5.48
2018-03-29 13:00:56,43.37,8.91,8.08,0.0,0.0
2018-03-29 14:00:56,68.42,15.83,10.31,1.16,4.03
2018-03-29 15:00:56,94.91,17.27,12.36,1.02,3.87
2018-03-29 16:00:56,93.49,14.04,9.16,0.99,3.81
2018-03-29 17:00:56,70.39,15.79,15.99,0.94,3.79
2018-03-29 18:00:56,55.01,10.49,7.64,1.25,4.12
2018-03-29 19:00:56,38.31,10.02,5.24,1.94,4.79
2018-03-29 20:00:56,30.65,9.35,3.08,4.13,6.92
2018-03-29 21:00:56,39.93,16.49,7.09,5.07,7.83
2018-03-29 22:00:56,39.68,23.17,8.97,4.35,7.24
2018-03-29 23:00:56,35.87,13.23,7.97,2.37,5.24
2018-03-30 00:00:56,19.89,10.16,5.63,1.79,4.66
2018-03-30 01:00:56,14.75,11.6,4.88,1.8,4.54
2018-03-30 02:00:56,19.32,8.85,3.51,0.97,3.73
2018-03-30 03:00:56,17.41,5.23,2.3,0.67,3.42
2018-03-30 04:00:56,15.52,10.15,0.59,0.86,3.58
2018-03-30 05:00:56,20.23,17.61,1.53,1.25,3.96
2018-03-30 06:00:56,14.1,9.72,1.92,1.27,4.0
2018-03-30 07:00:56,13.05,9.21,2.06,1.78,4.49
2018-03-30 08:00:56,11.58,11.0,1.93,3.07,5.97
2018-03-30 09:00:56,11.85,6.67,4.43,6.27,10.14
2018-03-30 10:00:56,20.54,4.84,10.17,4.51,7.84
2018-03-30 11:00:56,19.11,7.22,13.45,2.15,5.09
2018-03-30 12:00:56,17.75,11.9,16.83,2.39,5.35
2018-03-30 13:00:56,31.37,7.03,17.18,2.67,5.52
2018-03-30 14:00:56,37.21,5.46,16.38,2.8,5.7
2018-03-30 15:00:56,35.73,8.38,19.71,3.31,6.34
2018-03-30 16:00:56,28.46,16.15,15.35,2.62,5.55
2018-03-30 17:00:56,18.46,16.04,12.11,1.48,4.38
2018-03-30 18:00:56,16.57,8.41,7.65,1.81,4.82
2018-03-30 19:00:56,22.44,6.66,7.72,3.49,6.7
2018-03-30 20:00:56,29.96,14.45,21.43,4.74,7.99
2018-03-30 21:00:56,39.96,19.67,20.94,6.88,10.33
2018-03-30 22:00:56,50.92,17.95,14.5,9.73,15.64
2018-03-30 23:00:56,55.35,24.75,11.45,8.94,13.81
2018-03-31 00:00:56,61.09,22.0,11.14,8.91,13.6
2018-03-31 01:00:56,62.65,21.95,10.2,8.66,15.92
2018-03-31 02:00:56,60.69,24.05,8.52,7.69,14.31
2018-03-31 03:00:56,59.32,15.55,7.48,5.25,8.92
2018-03-31 04:00:56,47.05,18.19,5.39,2.71,5.5
2018-03-31 05:00:56,41.61,20.34,3.78,2.85,5.72
2018-03-31 06:00:56,35.25,14.51,2.38,2.14,4.92
2018-03-31 07:00:56,26.86,8.85,1.42,2.99,5.89
2018-03-31 08:00:56,20.83,8.29,1.32,2.41,5.81
2018-03-31 09:00:56,28.72,13.75,14.52,4.11,9.18
2018-03-31 10:00:56,43.26,19.92,43.55,3.64,7.77
2018-03-31 11:00:56,45.75,21.38,29.43,3.1,6.78
2018-03-31 12:00:56,44.56,15.72,16.38,1.77,4.86
2018-03-31 13:00:56,42.06,16.86,13.35,1.29,4.17
2018-03-31 14:00:56,28.19,11.02,19.38,1.32,4.23
