Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-03-29 00:00:56,145.06,35.66,4.94,7.19,9.23
2018-03-29 01:00:56,141.1,20.61,8.52,3.34,4.17
2018-03-29 02:00:56,117.0,10.37,8.84,3.18,5.31
2018-03-29 03:00:56,92.74,5.18,8.8,4.18,5.87
2018-03-29 04:00:56,50.32,11.92,8.59,2.12,4.82
2018-03-29 05:00:56,40.34,6.18,8.74,1.43,4.18
2018-03-29 06:00:56,24.71,3.09,8.97,1.53,3.22
2018-03-29 07:00:56,17.42,1.55,8.66,2.3,5.22
2018-03-29 08:00:56,19.62,3.35,8.09,5.32,7.59
2018-03-29 09:00:56,17.7,3.74,4.92,12.85,16.43
2018-03-29 10:00:56,30.19,5.98,3.34,8.94,12.08
2018-03-29 11:00:56,18.95,4.31,4.2,7.25,10.59
2018-03-29 12:00:56,17.93,2.76,5.49,4.25,6.42
2018-03-29 13:00:56,13.46,7.14,3.55,5.06,7.06
2018-03-29 14:00:56,19.06,13.99,5.0,11.41,16.04
2018-03-29 15:00:56,25.74,0.0,2.98,12.15,16.87
2018-03-29 16:00:56,16.34,0.0,5.21,10.28,14.94
2018-03-29 17:00:56,24.67,0.0,5.94,7.34,9.34
2018-03-29 18:00:56,17.16,0.0,7.24,9.51,12.18
2018-03-29 19:00:56,23.76,16.24,7.8,12.91,15.57
2018-03-29 20:00:56,14.96,10.09,5.35,15.55,19.48
2018-03-29 21:00:56,17.5,6.03,5.04,13.79,16.0
2018-03-29 22:00:56,15.47,6.98,4.83,8.66,10.58
2018-03-29 23:00:56,17.25,0.0,4.36,4.45,6.67
2018-03-30 00:00:56,10.89,10.69,4.08,3.55,5.64
2018-03-30 01:00:56,8.7,0.0,2.26,2.07,3.92
2018-03-30 02:00:56,14.31,7.45,2.16,2.13,3.04
2018-03-30 03:00:56,11.59,6.04,1.88,2.48,3.71
2018-03-30 04:00:56,13.89,5.59,1.82,3.18,3.9
2018-03-30 05:00:56,15.94,4.59,1.96,3.94,5.85
2018-03-30 06:00:56,9.71,4.28,1.87,3.91,4.62
2018-03-30 07:00:56,9.3,3.73,1.93,7.96,9.29
2018-03-30 08:00:56,17.5,15.06,2.2,8.34,11.47
2018-03-30 09:00:56,14.05,9.14,4.37,12.1,17.38
2018-03-30 10:00:56,31.01,5.71,4.95,8.83,12.86
2018-03-30 11:00:56,28.55,3.97,4.78,3.32,5.76
2018-03-30 12:00:56,19.05,12.28,4.79,2.89,4.26
2018-03-30 13:00:56,20.25,7.93,4.44,3.99,6.27
2018-03-30 14:00:56,18.67,7.24,4.74,6.57,8.92
2018-03-30 15:00:56,21.6,16.29,6.12,6.04,8.31
2018-03-30 16:00:56,17.98,12.23,5.32,6.87,9.1
2018-03-30 17:00:56,26.61,17.6,5.65,6.17,9.01
2018-03-30 18:00:56,30.55,12.59,4.5,6.39,8.46
2018-03-30 19:00:56,28.42,16.64,3.51,10.71,12.2
2018-03-30 20:00:56,25.91,10.26,3.81,17.2,19.84
2018-03-30 21:00:56,31.18,18.27,5.29,21.38,27.82
2018-03-30 22:00:56,34.17,23.67,7.47,23.18,32.27
2018-03-30 23:00:56,46.42,15.71,3.74,20.89,26.47
2018-03-31 00:00:56,55.98,18.34,4.31,18.85,23.4
2018-03-31 01:00:56,44.27,19.11,7.22,19.62,33.75
2018-03-31 02:00:56,48.64,23.84,8.52,18.67,39.13
2018-03-31 03:00:56,65.31,36.92,8.86,18.93,49.27
2018-03-31 04:00:56,64.9,27.26,9.81,16.87,59.12
2018-03-31 05:00:56,63.38,39.29,9.95,18.47,61.6
2018-03-31 06:00:56,72.04,31.79,9.75,16.92,53.81
2018-03-31 07:00:56,76.96,40.24,9.31,15.88,44.78
2018-03-31 08:00:56,71.06,44.67,9.51,15.23,46.51
2018-03-31 09:00:56,72.93,32.07,10.91,17.82,54.74
2018-03-31 10:00:56,92.47,49.58,9.11,20.71,51.95
2018-03-31 11:00:56,88.7,37.09,6.81,19.19,29.29
2018-03-31 12:00:56,67.31,38.21,4.57,14.01,19.31
2018-03-31 13:00:56,53.58,23.06,4.13,12.86,18.81
2018-03-31 14:00:56,59.21,12.68,3.65,9.8,15.06
2018-03-31 15:00:56,40.91,21.15,2.72,6.76,10.16
2018-03-31 16:00:56,38.92,15.94,2.95,6.64,7.73
2018-03-31 17:00:56,28.84,13.08,8.01,6.38,7.42
2018-03-31 18:00:56,17.97,0.0,9.69,6.93,9.72
2018-03-31 19:00:56,24.2,13.4,10.3,14.92,17.03
2018-03-31 20:00:56,27.19,20.87,8.0,23.46,27.93
2018-03-31 21:00:56,43.3,11.35,5.46,25.12,29.55
2018-03-31 22:00:56,29.72,6.97,5.2,18.89,22.33
2018-03-31 23:00:56,43.21,5.84,5.25,21.8,27.51
2018-04-01 00:00:56,59.98,3.75,5.56,24.79,43.24
2018-04-01 01:00:56,61.92,12.45,0.95,23.58,37.23
2018-04-01 02:00:56,62.56,23.61,0.14,22.82,32.7
2018-04-01 03:00:56,56.1,26.43,0.13,22.77,30.7
2018-04-01 04:00:56,42.0,27.36,0.27,19.95,29.91
2018-04-01 05:00:56,44.45,36.29,1.44,18.39,26.89
2018-04-01 06:00:56,44.59,18.62,1.29,16.54,21.02
2018-04-01 07:00:56,33.02,27.39,0.0,16.22,25.39
2018-04-01 08:00:56,52.54,24.04,0.85,14.83,31.4
2018-04-01 09:00:56,56.43,29.36,4.89,12.49,18.87
2018-04-01 10:00:56,36.83,21.08,6.05,12.63,16.52
2018-04-01 11:00:56,48.3,21.31,5.41,9.48,12.79
2018-04-01 12:00:56,32.35,24.73,5.09,8.04,12.18
2018-04-01 13:00:56,33.65,14.2,5.27,2.56,4.18
2018-04-01 14:00:56,32.01,11.73,4.95,5.39,6.81
2018-04-01 15:00:56,18.36,8.07,5.29,5.76,8.96
2018-04-01 16:00:56,16.03,11.77,3.91,7.03,8.56
2018-04-01 17:00:56,27.8,6.82,0.0,8.23,9.84
2018-04-01 18:00:56,27.64,4.5,0.0,10.7,13.02
2018-04-01 19:00:56,36.11,3.38,0.0,14.45,16.89
2018-04-01 20:00:56,42.34,14.58,3.2,22.15,38.84
2018-04-01 21:00:56,61.86,20.75,5.5,21.83,35.93
2018-04-01 22:00:56,62.76,21.33,5.49,20.16,27.76
2018-04-01 23:00:56,56.29,20.41,5.28,18.32,21.84
2018-04-02 00:00:56,55.19,14.94,7.01,17.97,23.98
2018-04-02 01:00:56,47.1,20.79,9.41,12.37,14.01
2018-04-02 02:00:56,25.38,13.23,10.16,8.59,10.59
2018-04-02 03:00:56,18.45,11.41,10.11,11.02,13.19
2018-04-02 04:00:56,18.29,9.04,9.81,4.48,4.85
2018-04-02 05:00:56,27.63,6.46,9.71,2.82,3.63
