Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-22 16:00:56,32.9,14.65,9.06,255.11,30.91,38.18
2022-03-22 17:00:56,30.37,12.44,8.83,281.04,31.54,37.97
2022-03-22 18:00:56,34.11,10.35,8.77,265.08,33.67,38.63
2022-03-22 19:00:56,37.85,9.04,8.75,299.51,40.13,44.33
2022-03-22 20:00:56,32.49,13.62,9.38,413.33,53.2,57.33
2022-03-22 21:00:56,28.79,16.7,9.35,455.09,58.11,61.8
2022-03-22 22:00:56,26.43,11.93,9.34,429.76,67.87,73.13
2022-03-22 23:00:56,24.84,11.19,9.65,568.52,70.71,76.14
2022-03-23 00:00:56,29.04,14.51,9.34,546.88,79.88,87.44
2022-03-23 01:00:56,37.87,14.08,9.0,522.22,74.81,82.89
2022-03-23 02:00:56,38.02,15.04,9.23,447.07,45.44,48.15
2022-03-23 03:00:56,39.46,19.92,9.11,360.12,39.48,41.93
2022-03-23 04:00:56,43.0,18.84,8.67,290.21,27.22,29.6
2022-03-23 05:00:56,39.13,15.76,8.6,301.3,27.45,29.89
2022-03-23 06:00:56,37.13,12.44,8.48,299.83,28.84,31.83
2022-03-23 07:00:56,32.54,10.46,8.4,340.39,34.29,37.98
2022-03-23 08:00:56,28.78,12.94,8.67,412.7,61.7,72.31
2022-03-23 09:00:56,29.51,16.69,8.96,457.34,63.98,79.2
2022-03-23 10:00:56,34.19,12.16,9.26,368.84,39.86,49.75
2022-03-23 11:00:56,37.67,8.85,9.4,265.38,26.93,33.05
2022-03-23 12:00:56,48.42,6.19,9.17,225.66,25.73,31.03
2022-03-23 13:00:56,54.92,13.43,9.09,212.54,27.15,30.71
2022-03-23 14:00:56,49.84,22.01,8.89,211.07,26.27,30.02
2022-03-23 15:00:56,54.76,19.53,8.95,209.03,22.14,24.88
2022-03-23 16:00:56,55.39,22.75,8.8,202.44,23.93,26.78
2022-03-23 17:00:56,48.19,21.21,8.87,167.44,26.28,29.47
2022-03-23 18:00:56,44.24,15.28,8.97,204.33,31.55,35.42
2022-03-23 19:00:56,42.98,15.97,10.16,279.94,43.75,46.58
2022-03-23 20:00:56,42.23,18.34,10.67,316.0,58.48,61.98
2022-03-23 21:00:56,44.88,13.36,9.65,327.3,59.85,62.54
2022-03-23 22:00:56,47.28,14.26,9.7,469.72,66.03,68.36
2022-03-23 23:00:56,50.82,16.6,9.54,372.74,68.6,71.51
2022-03-24 00:00:56,45.33,12.25,9.36,426.46,78.7,82.85
2022-03-24 01:00:56,38.3,9.41,9.2,321.56,40.58,42.01
2022-03-24 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0
