Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 ),PM10 ( - )
2022-03-23 16:00:56,32.74666666666667,28.89,13.623333333333335,504.21,30.8975,44.394999999999996,37.105000000000004,17.49
2022-03-23 17:00:56,33.92666666666667,20.93,12.103333333333333,540.9466666666667,32.63,46.1225,40.99,11.26
2022-03-23 18:00:56,28.973333333333333,16.223333333333333,13.826666666666668,669.8233333333334,47.5375,66.535,38.795,21.17
2022-03-23 19:00:56,28.243333333333336,14.796666666666667,23.346666666666664,906.1366666666667,62.285,86.2625,24.435000000000002,25.69
2022-03-23 20:00:56,32.77333333333333,20.833333333333332,26.03,1239.0233333333333,70.97749999999999,99.575,9.495000000000001,24.38
2022-03-23 21:00:56,43.23333333333333,26.936666666666667,45.43333333333334,1346.4333333333334,65.9875,92.1375,13.785,34.01
2022-03-23 22:00:56,49.98333333333333,36.43333333333333,76.41333333333334,1301.7033333333331,60.8825,82.31,16.235,55.34
2022-03-23 23:00:56,29.906666666666666,32.00666666666667,43.46,1167.6566666666668,51.3025,68.92250000000001,9.379999999999999,75.28
2022-03-24 00:00:56,43.68,45.13666666666666,26.743333333333336,1209.54,42.4225,58.980000000000004,4.32,69.18
2022-03-24 01:00:56,50.6,48.13,26.703333333333333,1448.0333333333335,39.940000000000005,61.8575,3.71,66.45
2022-03-24 02:00:56,58.04666666666666,55.47666666666667,33.64666666666667,1091.9833333333333,35.115,51.675,3.455,50.28
2022-03-24 03:00:56,53.47333333333333,48.77,25.60666666666667,687.3299999999999,29.235,37.185,7.63,47.48
2022-03-24 04:00:56,48.51333333333333,39.803333333333335,25.27,560.8366666666667,26.7025,33.1775,7.895,38.93
2022-03-24 05:00:56,36.126666666666665,36.379999999999995,32.416666666666664,546.61,26.512500000000003,31.5175,6.845,42.31
2022-03-24 06:00:56,33.43333333333333,29.86666666666667,41.32666666666666,509.16333333333336,27.947499999999998,33.0025,6.445,56.16
2022-03-24 07:00:56,31.886666666666667,27.840000000000003,31.676666666666666,510.02,32.0975,40.8375,5.1850000000000005,45.87
2022-03-24 08:00:56,36.050000000000004,27.44333333333333,33.623333333333335,930.5333333333333,61.400000000000006,95.6525,3.105,39.54
2022-03-24 09:00:56,59.01333333333333,31.513333333333332,48.25666666666666,972.5233333333332,64.23,100.22,9.18,48.35
2022-03-24 10:00:56,60.096666666666664,42.160000000000004,46.47,732.6166666666667,39.184999999999995,60.4175,8.785,57.78
2022-03-24 11:00:56,63.95333333333334,48.57333333333333,50.98333333333333,595.1766666666666,35.27,55.082499999999996,16.12,58.44
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
