Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,22.66,24.41,634.06,60.83,102.55
2022-03-23 17:00:56,23.49,16.95,634.57,63.17,104.68
2022-03-23 18:00:56,29.57,13.19,883.43,87.13,144.05
2022-03-23 19:00:56,36.99,13.78,1258.16,108.42,185.35
2022-03-23 20:00:56,49.95,23.1,1788.22,124.05,218.96
2022-03-23 21:00:56,60.02,32.47,1678.74,115.14,202.58
2022-03-23 22:00:56,67.98,39.92,1420.57,95.92,163.95
2022-03-23 23:00:56,67.49,41.68,1357.53,85.32,140.99
2022-03-24 00:00:56,63.04,41.94,1027.79,63.31,103.32
2022-03-24 01:00:56,54.07,40.24,1057.04,65.37,100.23
2022-03-24 02:00:56,39.69,31.33,1168.55,58.0,87.42
2022-03-24 03:00:56,28.25,21.93,1152.64,48.33,72.03
2022-03-24 04:00:56,27.28,20.2,874.74,40.17,59.5
2022-03-24 05:00:56,28.11,20.9,723.83,36.24,50.26
2022-03-24 06:00:56,37.31,21.02,659.98,36.28,49.65
2022-03-24 07:00:56,42.61,27.76,737.68,49.98,75.41
2022-03-24 08:00:56,57.89,32.19,1152.87,111.09,200.87
2022-03-24 09:00:56,79.08,37.47,1400.48,102.6,191.15
2022-03-24 10:00:56,91.41,43.49,905.52,76.6,138.06
2022-03-24 11:00:56,88.59,42.59,850.2,77.69,139.16
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0
