Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-03-29 00:00:56,221.59,48.3,786.08,54.56,75.04
2018-03-29 01:00:56,223.46,45.55,691.29,26.76,36.44
2018-03-29 02:00:56,213.16,47.17,603.72,7.73,8.76
2018-03-29 03:00:56,159.07,38.25,940.58,17.6,20.79
2018-03-29 04:00:56,113.45,28.33,669.73,8.1,8.75
2018-03-29 05:00:56,53.95,18.32,577.33,4.69,5.74
2018-03-29 06:00:56,28.91,12.35,627.44,11.76,15.81
2018-03-29 07:00:56,17.29,9.82,631.77,15.69,19.95
2018-03-29 08:00:56,9.59,6.25,606.54,22.16,36.42
2018-03-29 09:00:56,12.83,12.04,641.03,21.53,39.61
2018-03-29 10:00:56,30.21,20.44,849.46,37.31,72.52
2018-03-29 11:00:56,72.32,37.29,1111.73,63.88,116.56
2018-03-29 12:00:56,87.32,39.03,939.63,57.77,96.72
2018-03-29 13:00:56,88.56,41.23,1209.29,84.45,166.39
2018-03-29 14:00:56,79.12,43.31,1311.77,82.73,158.55
2018-03-29 15:00:56,55.63,38.19,1110.71,86.62,173.15
2018-03-29 16:00:56,58.29,42.5,1391.2,93.01,205.01
2018-03-29 17:00:56,58.23,48.34,1615.05,106.88,245.42
2018-03-29 18:00:56,77.9,52.79,1355.55,83.05,174.76
2018-03-29 19:00:56,75.03,54.96,1567.32,99.38,235.95
2018-03-29 20:00:56,88.47,55.78,957.05,66.64,99.06
2018-03-29 21:00:56,94.59,55.8,685.98,49.44,55.71
2018-03-29 22:00:56,98.85,53.6,1296.32,90.41,170.89
2018-03-29 23:00:56,106.86,54.12,1669.27,94.38,167.15
2018-03-30 00:00:56,110.42,54.49,1209.01,94.88,124.03
2018-03-30 01:00:56,111.58,49.54,1608.8,70.25,79.46
2018-03-30 02:00:56,112.12,44.5,1365.66,50.69,57.99
2018-03-30 03:00:56,112.35,39.68,1374.54,42.8,46.46
2018-03-30 04:00:56,112.41,39.03,1482.84,46.86,52.09
2018-03-30 05:00:56,112.5,33.26,1229.91,0.0,0.0
2018-03-30 06:00:56,111.37,32.13,629.38,0.0,0.0
2018-03-30 07:00:56,75.18,22.31,593.33,33.65,42.03
2018-03-30 08:00:56,57.02,19.9,925.49,69.3,118.3
2018-03-30 09:00:56,79.64,32.37,882.3,83.6,169.57
2018-03-30 10:00:56,99.42,46.02,786.56,72.95,136.35
2018-03-30 11:00:56,104.36,46.62,900.23,82.68,166.14
2018-03-30 12:00:56,70.85,46.01,2583.99,77.74,115.61
2018-03-30 13:00:56,53.94,33.37,2334.56,51.28,83.98
2018-03-30 14:00:56,42.17,30.72,2630.24,63.83,119.27
2018-03-30 15:00:56,42.78,38.82,3139.08,87.27,142.62
2018-03-30 16:00:56,48.51,41.12,539.17,56.39,76.34
2018-03-30 17:00:56,35.66,31.86,395.74,47.07,84.86
2018-03-30 18:00:56,31.82,0.0,726.17,73.9,144.67
2018-03-30 19:00:56,43.53,34.96,1156.68,92.5,184.68
2018-03-30 20:00:56,68.02,45.74,1371.04,93.59,201.38
2018-03-30 21:00:56,72.96,48.62,1111.78,80.19,179.95
2018-03-30 22:00:56,73.45,35.81,878.85,74.23,152.26
2018-03-30 23:00:56,85.86,36.05,1251.04,83.58,178.35
2018-03-31 00:00:56,78.27,26.71,797.7,85.98,121.13
2018-03-31 01:00:56,52.83,21.72,453.34,47.13,55.58
2018-03-31 02:00:56,33.33,18.7,860.25,47.0,64.1
2018-03-31 03:00:56,31.8,18.83,783.94,35.06,39.04
2018-03-31 04:00:56,25.25,15.89,563.42,24.95,27.72
2018-03-31 05:00:56,18.79,12.92,297.22,0.0,0.0
2018-03-31 06:00:56,13.21,8.59,326.35,0.0,0.0
2018-03-31 07:00:56,17.08,9.16,373.14,26.2,39.06
2018-03-31 08:00:56,41.07,10.35,681.85,53.58,114.26
2018-03-31 09:00:56,73.39,12.77,623.08,58.29,155.25
2018-03-31 10:00:56,76.98,13.95,636.13,58.41,149.9
2018-03-31 11:00:56,66.69,23.29,544.84,50.47,111.22
2018-03-31 12:00:56,47.3,16.47,423.08,50.2,109.29
2018-03-31 13:00:56,36.47,12.93,349.67,44.88,87.94
2018-03-31 14:00:56,30.86,14.27,337.26,46.36,86.23
