Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( ppb ),CO ( ppb ),NO2 ( ppb ),NOX ( ppb ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2021-07-25 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-25 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-25 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-25 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-25 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-25 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-25 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-25 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-25 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-25 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-25 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-26 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-27 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-27 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-27 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,,,
