Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),NO2 ( mg/m3 ),O3 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),PM10 ( - ),PM 2.5 ( - ),CO ( - ),NO2 ( - ),NOX ( - ),O3 ( - )
2022-03-23 16:00:56,25.259999999999998,9.139999999999999,28.331666666666667,39.92,29.15,36.4425,7.986666666666667,434.395,51.5,12.41,620.42,0.0,0.0,43.6
2022-03-23 17:00:56,26.400000000000002,10.615714285714287,29.955,42.037142857142854,32.54,35.68,7.876666666666666,459.3625,65.66,9.87,556.12,0.0,0.0,43.55
2022-03-23 18:00:56,23.604285714285716,11.705714285714285,33.27,45.76142857142857,36.21,34.7425,7.993333333333333,522.785,63.01,10.79,1190.99,0.0,0.0,33.99
2022-03-23 19:00:56,28.272857142857145,13.324285714285713,37.68666666666667,53.464285714285715,48.64,32.3125,6.793333333333333,519.84,51.26,16.24,1220.61,0.0,0.0,28.57
2022-03-23 20:00:56,27.604285714285716,16.39142857142857,46.30833333333334,61.16285714285714,48.76,31.1075,6.503333333333334,609.3825,38.86,12.36,1356.25,0.0,0.0,22.92
2022-03-23 21:00:56,29.472857142857144,12.9,45.67666666666667,57.652857142857144,54.21,27.3675,7.383333333333333,660.0550000000001,50.54,16.25,1307.51,0.0,0.0,17.64
2022-03-23 22:00:56,29.32857142857143,13.961428571428572,44.69,55.9,50.16,29.0825,8.616666666666667,721.7625,61.27,33.78,1134.62,0.0,0.0,18.9
2022-03-23 23:00:56,29.804285714285715,22.737142857142857,55.685,67.08857142857143,53.57,27.6275,8.68,1004.3125,66.09,44.73,1766.85,0.0,0.0,5.38
2022-03-24 00:00:56,36.61714285714286,17.701428571428572,50.696666666666665,62.034285714285716,50.23,26.7925,8.173333333333334,979.1800000000001,66.29,43.06,1299.86,0.0,0.0,10.98
2022-03-24 01:00:56,34.097142857142856,17.09,46.1,55.75142857142857,37.93,30.255,8.87,953.295,77.08,43.99,709.08,0.0,0.0,29.96
2022-03-24 02:00:56,34.03285714285714,13.231428571428571,33.31166666666667,42.92285714285715,43.87,29.07,10.233333333333333,702.765,56.43,32.74,545.44,0.0,0.0,35.63
2022-03-24 03:00:56,30.747142857142855,12.732857142857142,29.185000000000002,37.791428571428575,40.08,30.0975,11.703333333333333,724.67,39.15,28.32,583.85,0.0,0.0,36.34
2022-03-24 04:00:56,25.192857142857143,11.815714285714284,29.959999999999997,37.94571428571429,30.16,32.15,12.193333333333333,768.0,30.88,21.21,650.05,0.0,0.0,34.15
2022-03-24 05:00:56,23.69142857142857,11.15,30.310000000000002,38.52571428571429,30.35,32.7475,13.590000000000002,689.175,40.14,19.77,565.67,0.0,0.0,33.39
2022-03-24 06:00:56,23.041428571428572,10.634285714285713,25.299999999999997,33.191428571428574,32.22,32.2225,13.29,506.8925,33.96,24.41,426.43,0.0,0.0,40.79
2022-03-24 07:00:56,17.867142857142856,11.275714285714287,28.728333333333335,36.71857142857142,31.56,30.4125,11.246666666666668,616.4425,29.95,20.27,444.73,0.0,0.0,37.84
2022-03-24 08:00:56,20.195714285714285,13.728571428571428,47.26333333333334,61.25571428571429,34.87,28.47,9.543333333333333,798.9475,23.6,16.19,498.67,0.0,0.0,24.1
2022-03-24 09:00:56,26.304285714285715,12.104285714285714,44.416666666666664,60.83428571428572,33.41,29.53,8.903333333333334,595.2725,28.93,16.23,615.69,0.0,0.0,27.14
2022-03-24 10:00:56,29.298571428571428,11.302857142857144,32.87166666666666,47.58,32.35,30.925,9.623333333333333,516.05,40.6,15.81,601.59,0.0,0.0,33.99
2022-03-24 11:00:56,30.821428571428573,11.655714285714286,27.926666666666666,41.77142857142858,32.56,16.4425,9.696666666666667,457.8325,55.02,18.09,629.6,0.0,0.0,40.65
2022-03-24 12:00:56,25.312857142857144,11.65857142857143,25.331666666666667,37.715714285714284,30.68,34.6475,9.066666666666666,440.92999999999995,49.69,14.43,617.07,0.0,0.0,39.25
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
