Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-04-01 12:00:56,18.27,0.0,3.46,8.07,10.6,75.67
2018-04-01 13:00:56,18.45,0.0,3.77,6.98,9.16,83.26
2018-04-01 14:00:56,18.62,8.22,3.69,6.69,8.78,91.72
2018-04-01 15:00:56,17.94,9.81,3.73,6.91,9.08,92.65
2018-04-01 16:00:56,18.88,10.39,3.72,7.02,9.22,90.77
2018-04-01 17:00:56,19.83,9.94,3.51,7.18,9.11,89.79
2018-04-01 18:00:56,23.42,10.45,3.83,8.74,10.57,88.26
2018-04-01 19:00:56,25.46,13.25,3.98,9.58,12.05,85.96
2018-04-01 20:00:56,24.23,14.8,3.45,5.98,7.67,74.76
2018-04-01 21:00:56,21.01,13.24,3.6,4.81,6.4,69.16
2018-04-01 22:00:56,19.73,12.74,3.21,3.85,5.43,72.67
2018-04-01 23:00:56,18.34,10.87,3.39,3.61,5.21,77.36
2018-04-02 00:00:56,15.28,7.58,3.23,3.36,4.89,84.35
2018-04-02 01:00:56,14.76,7.6,3.14,3.27,4.74,87.54
2018-04-02 02:00:56,17.57,8.72,3.16,3.09,4.55,91.54
2018-04-02 03:00:56,16.57,8.74,3.2,3.08,4.55,90.81
2018-04-02 04:00:56,15.4,9.17,3.24,3.18,4.61,89.91
2018-04-02 05:00:56,13.2,8.18,3.4,3.15,4.57,89.61
2018-04-02 06:00:56,13.49,7.2,3.46,3.14,4.58,89.19
2018-04-02 07:00:56,13.12,6.34,3.18,3.21,4.61,87.78
2018-04-02 08:00:56,12.02,6.4,3.5,3.1,4.51,85.73
2018-04-02 09:00:56,12.99,5.8,3.47,5.56,7.44,82.62
2018-04-02 10:00:56,14.95,0.0,3.74,4.54,6.13,82.43
2018-04-02 11:00:56,15.6,0.0,3.89,5.37,7.69,87.4
2018-04-02 12:00:56,15.39,5.71,3.94,7.76,10.39,86.21
2018-04-02 13:00:56,17.29,7.62,3.95,6.88,8.97,95.03
2018-04-02 14:00:56,17.93,10.24,4.49,5.26,7.03,99.09
2018-04-02 15:00:56,18.39,9.01,4.47,5.77,7.65,94.74
2018-04-02 16:00:56,25.41,13.4,4.4,5.7,7.49,91.06
2018-04-02 17:00:56,33.31,19.94,3.41,5.02,6.64,95.38
2018-04-02 18:00:56,41.61,26.24,3.46,4.91,6.43,99.24
2018-04-02 19:00:56,42.09,27.8,3.39,3.8,5.29,99.64
2018-04-02 20:00:56,34.72,21.94,3.7,3.71,5.15,95.61
2018-04-02 21:00:56,26.79,16.72,3.55,3.83,5.24,92.09
2018-04-02 22:00:56,19.7,12.83,3.36,3.91,5.35,98.84
2018-04-02 23:00:56,15.77,10.56,3.52,3.76,5.17,102.79
2018-04-03 00:00:56,13.87,9.28,3.58,3.97,5.33,101.11
2018-04-03 01:00:56,12.02,7.34,3.32,4.02,5.41,99.58
2018-04-03 02:00:56,12.82,6.93,3.27,4.21,5.56,96.14
2018-04-03 03:00:56,12.66,5.72,3.13,4.13,5.48,92.93
2018-04-03 04:00:56,12.01,5.7,3.53,3.97,5.32,86.5
2018-04-03 05:00:56,11.37,6.12,3.41,3.97,5.31,82.31
2018-04-03 06:00:56,0.0,5.34,3.69,3.87,5.21,82.71
2018-04-03 07:00:56,0.0,6.97,3.71,3.81,5.2,78.09
2018-04-03 08:00:56,11.35,6.73,3.52,3.77,5.16,73.5
2018-04-03 09:00:56,13.26,6.38,3.5,3.92,5.38,72.77
2018-04-03 10:00:56,15.92,0.0,3.39,4.33,5.87,68.92
2018-04-03 11:00:56,16.75,0.0,3.56,4.72,6.4,79.45
2018-04-03 12:00:56,16.41,6.95,3.61,5.04,6.68,89.78
2018-04-03 13:00:56,16.56,9.2,3.61,4.67,6.29,89.9
2018-04-03 14:00:56,17.2,10.68,3.42,4.77,6.3,89.64
2018-04-03 15:00:56,17.6,11.49,3.58,5.55,7.16,86.76
2018-04-03 16:00:56,19.26,12.05,3.71,6.4,7.98,83.21
2018-04-03 17:00:56,19.76,11.91,3.37,6.43,7.95,83.55
2018-04-03 18:00:56,22.39,11.72,3.44,5.53,6.92,85.48
