Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2022-03-23 16:00:56,30.11,6.72,949.46,37.06,55.12
2022-03-23 17:00:56,31.5,6.98,963.7,40.78,63.74
2022-03-23 18:00:56,32.01,7.84,956.94,30.07,46.24
2022-03-23 19:00:56,33.42,7.33,1004.57,30.65,42.08
2022-03-23 20:00:56,33.03,9.01,906.68,24.28,31.32
2022-03-23 21:00:56,31.62,7.25,888.94,17.69,22.59
2022-03-23 22:00:56,30.3,4.52,887.43,16.9,23.66
2022-03-23 23:00:56,29.17,3.96,870.3,14.11,17.96
2022-03-24 00:00:56,26.45,3.23,871.91,0.0,0.0
2022-03-24 01:00:56,24.34,5.39,850.59,12.98,15.23
2022-03-24 02:00:56,24.81,4.74,841.6,8.75,10.23
2022-03-24 03:00:56,25.07,3.28,832.35,11.02,12.53
2022-03-24 04:00:56,24.61,3.43,828.32,8.83,10.14
2022-03-24 05:00:56,25.23,2.94,885.79,10.35,11.56
2022-03-24 06:00:56,24.49,3.14,834.56,9.96,11.42
2022-03-24 07:00:56,24.52,2.55,831.43,14.71,17.82
2022-03-24 08:00:56,24.76,3.54,894.78,24.88,35.57
2022-03-24 09:00:56,26.5,5.5,1062.72,29.71,44.6
2022-03-24 10:00:56,26.97,7.38,962.46,23.94,35.18
2022-03-24 11:00:56,27.67,8.25,870.38,16.85,25.63
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0
