Date,PM10 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-03-29 00:00:56,0.0,293.62,3.13,7.11
2018-03-29 01:00:56,0.0,218.08,2.58,5.91
2018-03-29 02:00:56,0.0,56.77,2.15,5.35
2018-03-29 03:00:56,0.0,61.48,3.54,0.0
2018-03-29 04:00:56,0.0,73.76,2.11,0.0
2018-03-29 05:00:56,0.0,114.95,1.81,5.23
2018-03-29 06:00:56,0.0,125.76,2.06,5.62
2018-03-29 07:00:56,0.0,106.84,3.21,0.0
2018-03-29 08:00:56,0.0,75.38,7.8,11.5
2018-03-29 09:00:56,0.0,126.52,9.85,14.42
2018-03-29 10:00:56,0.0,47.36,11.52,17.06
2018-03-29 11:00:56,0.0,47.65,17.22,31.65
2018-03-29 12:00:56,0.0,28.32,23.57,36.67
2018-03-29 13:00:56,0.0,56.57,11.0,17.22
2018-03-29 14:00:56,0.0,26.38,15.53,25.57
2018-03-29 15:00:56,0.0,52.17,22.47,37.29
2018-03-29 16:00:56,0.0,115.17,18.26,30.0
2018-03-29 17:00:56,0.0,111.97,19.16,28.35
2018-03-29 18:00:56,0.0,108.54,22.49,32.34
2018-03-29 19:00:56,0.0,132.52,32.55,50.81
2018-03-29 20:00:56,0.0,120.75,24.2,35.91
2018-03-29 21:00:56,0.0,105.22,21.24,37.62
2018-03-29 22:00:56,0.0,102.42,27.59,44.27
2018-03-29 23:00:56,0.0,115.5,25.08,39.41
2018-03-30 00:00:56,0.0,130.22,33.0,50.13
2018-03-30 01:00:56,0.0,146.39,28.88,37.71
2018-03-30 02:00:56,0.0,119.29,22.79,32.0
2018-03-30 03:00:56,0.0,151.14,46.51,54.59
2018-03-30 04:00:56,0.0,222.65,41.29,43.3
2018-03-30 05:00:56,0.0,255.57,46.28,48.72
2018-03-30 06:00:56,0.0,344.51,69.79,73.37
2018-03-30 07:00:56,0.0,206.26,80.7,95.78
2018-03-30 08:00:56,0.0,38.39,74.81,111.04
2018-03-30 09:00:56,0.0,1.17,48.43,62.72
2018-03-30 10:00:56,0.0,3.96,63.77,101.24
2018-03-30 11:00:56,0.0,0.0,51.83,76.42
2018-03-30 12:00:56,0.0,0.0,73.0,122.0
2018-03-30 13:00:56,0.0,60.95,45.46,67.85
2018-03-30 14:00:56,0.0,160.43,45.38,62.83
2018-03-30 15:00:56,0.0,225.19,54.08,80.34
2018-03-30 16:00:56,0.0,195.15,48.81,67.6
2018-03-30 17:00:56,0.0,219.36,58.99,79.54
2018-03-30 18:00:56,0.0,232.78,81.44,102.81
2018-03-30 19:00:56,0.0,208.15,114.54,149.33
2018-03-30 20:00:56,0.0,95.6,128.73,189.04
