Date,PM10 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,19.49,340.03222222222223,20.06833333333333,30.948333333333334,7.68875,23.912,48.051
2022-03-23 17:00:56,18.19181818181818,328.66777777777776,23.006666666666664,35.4,6.85625,23.517,44.232
2022-03-23 18:00:56,19.175454545454546,354.0222222222222,25.825833333333335,38.780833333333334,6.50125,23.78,41.848
2022-03-23 19:00:56,23.35,476.96000000000004,28.640833333333333,47.55083333333334,6.60125,23.714999999999996,40.233
2022-03-23 20:00:56,25.724545454545456,580.5255555555555,27.955,46.51916666666667,7.805,23.606,32.601
2022-03-23 21:00:56,26.182727272727274,596.7199999999999,26.49416666666667,38.66833333333333,8.125,22.585,40.056
2022-03-23 22:00:56,25.19818181818182,680.6488888888889,24.685000000000002,36.55916666666666,7.17625,24.601,34.379000000000005
2022-03-23 23:00:56,23.36090909090909,673.1822222222222,19.588333333333335,29.381666666666664,6.8,17.07,43.476
2022-03-24 00:00:56,22.33909090909091,718.4033333333332,24.9875,39.925000000000004,4.731249999999999,23.62,41.848
2022-03-24 01:00:56,23.62818181818182,486.6311111111111,24.584166666666665,35.440000000000005,4.97625,24.176,41.6
2022-03-24 02:00:56,22.98090909090909,413.0155555555555,23.028333333333336,31.888333333333335,5.4875,23.058,38.9
2022-03-24 03:00:56,23.545454545454547,401.14000000000004,22.618333333333336,30.115,5.9325,22.683999999999997,38.329
2022-03-24 04:00:56,23.40818181818182,374.5177777777778,20.161666666666665,27.550833333333333,6.00875,22.21,40.973
2022-03-24 05:00:56,20.34181818181818,401.59333333333336,20.000833333333333,26.162499999999998,4.57625,22.349,40.726
2022-03-24 06:00:56,20.69363636363636,402.75333333333333,29.2525,41.719166666666666,4.2025,22.666999999999998,32.386
2022-03-24 07:00:56,23.365454545454543,430.60555555555555,36.439166666666665,59.666666666666664,6.199999999999999,22.794999999999998,23.807
2022-03-24 08:00:56,24.828181818181818,526.7022222222222,47.28916666666667,128.62583333333333,6.58625,23.525,21.032
2022-03-24 09:00:56,29.180909090909093,569.6155555555556,48.92583333333334,145.015,10.77,24.165,26.165
2022-03-24 10:00:56,33.25636363636364,527.701111111111,46.21666666666667,103.13333333333333,11.74375,26.023000000000003,30.26
2022-03-24 11:00:56,36.68181818181818,416.44111111111107,37.51166666666666,65.94416666666667,13.1325,26.848000000000003,37.961
2022-03-24 12:00:56,9.181818181818182,0.0,5.375833333333333,7.786666666666666,3.7800000000000002,10.809999999999999,21.925
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
