Date,PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,16.49,4.18,24.87,44.78,84.76
2022-03-23 17:00:56,13.55,4.15,28.5,49.79,85.4
2022-03-23 18:00:56,15.0,3.87,26.76,44.46,84.9
2022-03-23 19:00:56,11.63,3.55,27.57,44.34,81.33
2022-03-23 20:00:56,11.11,3.39,21.73,35.29,84.3
2022-03-23 21:00:56,15.14,3.45,22.12,35.74,83.72
2022-03-23 22:00:56,11.88,3.54,24.08,36.27,80.33
2022-03-23 23:00:56,8.96,3.67,23.27,34.8,80.98
2022-03-24 00:00:56,7.31,3.81,25.11,37.02,80.6
2022-03-24 01:00:56,10.49,5.26,24.14,34.34,86.49
2022-03-24 02:00:56,8.65,7.26,49.31,60.52,57.89
2022-03-24 03:00:56,10.91,6.83,27.18,37.16,78.94
2022-03-24 04:00:56,12.6,7.04,32.41,42.58,72.39
2022-03-24 05:00:56,9.21,7.17,21.64,31.37,85.5
2022-03-24 06:00:56,7.36,6.54,22.36,32.35,84.08
2022-03-24 07:00:56,7.14,7.42,68.76,88.6,37.23
2022-03-24 08:00:56,11.3,9.37,93.35,242.1,27.53
2022-03-24 09:00:56,17.18,9.38,100.32,310.18,26.37
2022-03-24 10:00:56,27.14,11.77,82.24,220.98,41.09
2022-03-24 11:00:56,35.25,9.6,29.57,47.23,89.77
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0
