Tarih,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-03-06 00:00:56,148.79,47.63,2887.9,78.62,130.24,0.0
2019-03-06 01:00:56,164.5,42.96,1812.44,71.42,0.0,0.0
2019-03-06 02:00:56,143.17,28.43,2110.83,70.14,0.0,0.0
2019-03-06 03:00:56,127.49,18.94,1557.81,49.96,52.89,0.0
2019-03-06 04:00:56,100.78,16.71,1028.13,32.12,0.0,0.0
2019-03-06 05:00:56,85.07,16.24,762.16,8.3,0.0,0.0
2019-03-06 06:00:56,64.77,13.84,847.45,11.2,0.0,0.0
2019-03-06 07:00:56,72.16,12.27,1185.76,29.78,0.0,0.0
2019-03-06 08:00:56,67.33,16.08,1324.8,51.88,0.0,0.0
2019-03-06 09:00:56,88.27,16.22,1192.09,50.89,107.86,0.0
2019-03-06 10:00:56,88.28,15.76,647.4,30.17,0.0,0.0
2019-03-06 11:00:56,111.72,18.29,676.98,50.72,55.75,0.0
2019-03-06 12:00:56,99.79,20.33,927.11,70.36,100.2,0.0
2019-03-06 13:00:56,112.15,16.87,1080.12,75.16,107.85,0.0
2019-03-06 14:00:56,111.63,21.92,830.96,49.55,54.23,0.0
2019-03-06 15:00:56,86.99,23.17,486.05,50.69,53.11,0.0
2019-03-06 16:00:56,75.05,30.36,386.44,30.51,31.0,0.0
2019-03-06 17:00:56,65.76,28.89,532.92,25.89,26.53,0.0
2019-03-06 18:00:56,56.3,29.79,455.13,40.28,40.93,0.0
2019-03-06 19:00:56,51.49,32.21,523.52,51.86,55.66,0.0
2019-03-06 20:00:56,60.58,40.9,1255.41,88.54,128.63,0.0
2019-03-06 21:00:56,87.98,43.18,1897.61,81.38,137.67,0.0
2019-03-06 22:00:56,119.73,19.97,1219.61,41.64,43.19,0.0
2019-03-06 23:00:56,102.95,20.75,920.08,48.71,56.91,0.0
2019-03-07 00:00:56,98.59,16.36,1087.92,50.31,68.77,0.0
2019-03-07 01:00:56,94.6,12.18,1178.71,33.52,34.52,0.0
2019-03-07 02:00:56,91.64,12.13,792.53,0.0,2.89,0.0
