Tarih,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-03-06 00:00:56,56.48,27.86,0.0,0.0,10.97,12.32,66.25
2019-03-06 01:00:56,41.93,30.56,0.0,0.0,8.01,9.06,68.45
2019-03-06 02:00:56,24.36,21.81,0.0,0.0,7.02,7.99,68.59
2019-03-06 03:00:56,16.39,20.21,0.0,0.0,6.17,6.84,68.19
2019-03-06 04:00:56,20.7,17.71,0.0,0.0,6.93,8.4,67.1
2019-03-06 05:00:56,29.34,20.15,0.0,0.0,7.84,9.09,61.48
2019-03-06 06:00:56,31.27,20.99,0.0,0.0,8.03,9.02,58.51
2019-03-06 07:00:56,28.85,25.29,0.0,0.0,7.76,9.16,58.01
2019-03-06 08:00:56,29.74,20.34,0.0,0.0,5.9,6.76,63.26
2019-03-06 09:00:56,20.32,16.82,0.0,0.0,8.45,9.54,53.68
2019-03-06 10:00:56,21.7,21.02,0.0,0.0,7.11,8.06,52.06
2019-03-06 11:00:56,17.92,15.6,0.0,0.0,7.21,8.76,54.84
2019-03-06 12:00:56,21.09,22.3,0.0,0.0,9.17,11.53,42.77
2019-03-06 13:00:56,24.33,21.23,0.0,0.0,10.51,14.22,44.9
2019-03-06 14:00:56,21.94,19.32,0.0,0.0,11.63,14.69,42.14
2019-03-06 15:00:56,23.2,19.15,0.0,0.0,10.39,12.37,42.76
2019-03-06 16:00:56,21.95,19.26,0.0,0.0,6.19,8.09,46.03
2019-03-06 17:00:56,14.65,9.96,0.0,0.0,3.66,4.63,54.3
2019-03-06 18:00:56,7.89,10.71,0.0,0.0,9.24,12.66,43.72
2019-03-06 19:00:56,26.57,20.44,0.0,0.0,12.03,16.02,35.38
2019-03-06 20:00:56,31.31,28.01,0.0,0.0,14.81,18.47,25.72
2019-03-06 21:00:56,55.61,50.29,0.0,0.0,16.03,20.77,22.86
2019-03-06 22:00:56,43.96,41.43,0.0,0.0,9.52,12.24,52.86
2019-03-06 23:00:56,25.72,16.66,0.0,0.0,7.41,9.78,61.19
2019-03-07 00:00:56,11.21,10.59,0.0,0.0,5.69,7.05,51.5
2019-03-07 01:00:56,13.31,11.47,0.0,0.0,6.95,9.25,41.09
2019-03-07 02:00:56,19.33,18.67,0.0,0.0,4.04,6.2,50.75
2019-03-07 03:00:56,10.72,11.4,0.0,0.0,2.87,3.99,58.02
2019-03-07 04:00:56,9.04,7.5,0.0,0.0,1.53,2.02,60.05
2019-03-07 05:00:56,7.03,4.76,0.0,0.0,2.02,2.23,60.57
2019-03-07 06:00:56,9.8,9.5,0.0,0.0,2.16,2.78,62.88
2019-03-07 07:00:56,13.26,10.38,0.0,0.0,2.13,2.56,60.35
2019-03-07 08:00:56,8.94,7.4,0.0,0.0,2.08,2.54,59.27
2019-03-07 09:00:56,12.38,12.34,0.0,0.0,3.95,4.73,54.8
2019-03-07 10:00:56,20.77,27.31,0.0,0.0,8.48,15.47,54.34
2019-03-07 11:00:56,10.51,15.16,0.0,0.0,5.15,7.42,49.72
2019-03-07 12:00:56,13.46,14.36,0.0,0.0,2.39,3.21,51.07
2019-03-07 13:00:56,14.51,9.12,0.0,0.0,2.45,2.81,51.54
2019-03-07 14:00:56,11.14,8.79,0.0,0.0,2.17,3.14,52.61
2019-03-07 15:00:56,11.18,7.85,0.0,0.0,2.11,2.99,55.18
2019-03-07 16:00:56,11.57,7.33,0.0,0.0,1.83,2.35,61.55
2019-03-07 17:00:56,8.98,6.68,0.0,0.0,1.62,2.18,68.15
2019-03-07 18:00:56,12.17,5.68,0.0,0.0,1.81,1.5,68.62
2019-03-07 19:00:56,6.97,6.09,0.0,0.0,1.99,2.76,67.52
2019-03-07 20:00:56,7.59,4.96,0.0,0.0,3.44,4.22,63.56
2019-03-07 21:00:56,11.28,6.52,0.0,0.0,7.27,8.95,62.93
2019-03-07 22:00:56,27.93,26.61,0.0,0.0,4.13,4.88,65.87
2019-03-07 23:00:56,15.75,13.7,0.0,0.0,5.38,6.82,57.77
2019-03-08 00:00:56,19.21,18.09,0.0,0.0,4.95,5.49,47.89
2019-03-08 01:00:56,24.38,16.36,0.0,0.0,3.7,4.03,44.94
2019-03-08 02:00:56,25.22,18.03,0.0,0.0,4.33,5.57,57.31
2019-03-08 03:00:56,22.78,12.71,0.0,0.0,3.66,4.2,61.8
2019-03-08 04:00:56,17.97,10.97,0.0,0.0,2.92,2.74,61.42
2019-03-08 05:00:56,11.16,13.49,0.0,0.0,2.35,2.15,65.69
2019-03-08 06:00:56,11.71,9.62,0.0,0.0,2.07,2.37,62.64
2019-03-08 07:00:56,11.34,8.85,0.0,0.0,1.92,2.14,62.08
2019-03-08 08:00:56,9.11,7.19,0.0,0.0,1.53,1.69,65.82
2019-03-08 09:00:56,9.45,8.52,0.0,0.0,3.97,4.42,62.57
2019-03-08 10:00:56,19.48,12.62,0.0,0.0,4.55,5.25,40.2
2019-03-08 11:00:56,13.86,10.39,0.0,0.0,5.24,5.98,56.66
2019-03-08 12:00:56,19.87,9.54,0.0,0.0,9.09,14.09,57.6
2019-03-08 13:00:56,32.91,16.2,0.0,0.0,5.38,7.51,66.87
2019-03-08 14:00:56,31.71,15.33,0.0,0.0,3.98,4.64,75.56
2019-03-08 15:00:56,20.43,8.88,0.0,0.0,4.33,7.13,78.73
2019-03-08 16:00:56,18.5,9.85,0.0,0.0,2.74,0.0,80.53
2019-03-08 17:00:56,14.1,9.75,0.0,0.0,3.78,0.0,83.48
2019-03-08 18:00:56,16.07,9.7,0.0,0.0,4.57,6.19,89.26
2019-03-08 19:00:56,20.75,13.04,0.0,0.0,4.41,5.15,94.75
2019-03-08 20:00:56,28.67,12.7,0.0,0.0,8.47,9.95,92.39
2019-03-08 21:00:56,27.77,13.63,0.0,0.0,15.32,20.75,84.29
2019-03-08 22:00:56,81.19,35.17,0.0,0.0,17.35,22.98,81.79
2019-03-08 23:00:56,56.75,44.02,0.0,0.0,6.54,7.57,79.71
2019-03-09 00:00:56,37.41,18.59,0.0,0.0,4.7,5.88,77.51
2019-03-09 01:00:56,20.07,16.25,0.0,0.0,6.64,8.18,65.75
2019-03-09 02:00:56,28.24,15.63,0.0,0.0,5.49,7.03,59.06
2019-03-09 03:00:56,13.02,11.36,0.0,0.0,5.12,6.33,57.83
2019-03-09 04:00:56,19.08,11.98,0.0,0.0,3.76,4.53,56.58
2019-03-09 05:00:56,16.26,9.52,0.0,0.0,3.31,3.7,53.33
2019-03-09 06:00:56,14.98,12.56,0.0,0.0,3.9,4.48,53.04
2019-03-09 07:00:56,9.74,8.56,0.0,0.0,7.12,8.06,46.03
2019-03-09 08:00:56,16.98,8.85,0.0,0.0,6.99,7.49,33.69
2019-03-09 09:00:56,16.27,11.39,0.0,0.0,9.68,11.74,42.18
2019-03-09 10:00:56,26.53,20.25,0.0,0.0,10.55,12.58,44.43
2019-03-09 11:00:56,15.13,10.15,0.0,0.0,11.05,16.39,43.63
2019-03-09 12:00:56,34.97,11.43,0.0,0.0,10.31,13.95,34.06
2019-03-09 13:00:56,24.04,14.82,0.0,0.0,7.6,11.01,52.25
2019-03-09 14:00:56,27.48,16.12,0.0,0.0,8.7,11.32,54.91
2019-03-09 15:00:56,25.14,12.44,0.0,0.0,6.64,9.21,76.23
2019-03-09 16:00:56,34.16,11.94,0.0,0.0,4.84,6.54,83.48
2019-03-09 17:00:56,27.07,17.43,0.0,0.0,4.04,4.97,88.31
2019-03-09 18:00:56,37.23,14.56,0.0,0.0,5.79,8.85,83.76
2019-03-09 19:00:56,23.2,13.58,0.0,0.0,7.27,10.53,83.49
2019-03-09 20:00:56,23.96,11.23,0.0,0.0,6.3,7.69,82.04
2019-03-09 21:00:56,42.99,18.95,0.0,0.0,6.33,8.91,77.4
2019-03-09 22:00:56,36.09,15.33,0.0,0.0,10.33,18.1,68.95
2019-03-09 23:00:56,38.72,19.08,0.0,0.0,6.46,7.51,69.7
2019-03-10 00:00:56,28.42,16.57,0.0,0.0,6.32,6.68,69.89
2019-03-10 01:00:56,21.66,12.44,0.0,0.0,5.27,5.94,69.55
2019-03-10 02:00:56,19.7,12.03,0.0,0.0,6.18,7.51,64.7
2019-03-10 03:00:56,21.66,13.23,0.0,0.0,6.59,7.79,60.84
2019-03-10 04:00:56,29.52,23.02,0.0,0.0,5.52,6.62,54.6
2019-03-10 05:00:56,26.66,16.16,0.0,0.0,4.96,5.77,50.81
2019-03-10 06:00:56,25.74,12.59,0.0,0.0,5.71,7.03,47.34
2019-03-10 07:00:56,23.7,18.5,0.0,0.0,5.88,7.13,43.06
2019-03-10 08:00:56,22.08,18.13,0.0,0.0,5.26,5.62,48.6
2019-03-10 09:00:56,16.25,15.9,0.0,0.0,4.29,5.23,54.95
2019-03-10 10:00:56,22.5,11.96,0.0,0.0,5.74,7.5,54.84
2019-03-10 11:00:56,21.42,13.42,0.0,0.0,4.11,5.4,59.34
2019-03-10 12:00:56,19.11,12.8,0.0,0.0,4.93,6.85,62.52
2019-03-10 13:00:56,22.04,10.92,0.0,0.0,3.91,4.75,67.05
2019-03-10 14:00:56,23.36,12.34,0.0,0.0,3.11,4.6,73.62
2019-03-10 15:00:56,25.0,9.4,0.0,0.0,3.61,4.91,77.4
2019-03-10 16:00:56,31.56,15.43,0.0,0.0,3.38,4.43,78.45
2019-03-10 17:00:56,31.57,14.27,0.0,0.0,6.42,9.06,77.11
2019-03-10 18:00:56,33.1,15.96,0.0,0.0,7.84,10.9,72.54
2019-03-10 19:00:56,39.46,21.41,0.0,0.0,14.24,20.17,67.21
2019-03-10 20:00:56,46.47,21.32,0.0,0.0,10.78,13.22,68.05
2019-03-10 21:00:56,43.84,17.72,0.0,0.0,7.38,9.17,71.49
2019-03-10 22:00:56,25.61,13.0,0.0,0.0,5.53,7.07,71.76
2019-03-10 23:00:56,22.73,11.08,0.0,0.0,3.73,4.47,71.84
2019-03-11 00:00:56,19.77,11.83,0.0,0.0,3.17,4.43,70.57
2019-03-11 01:00:56,22.36,11.61,0.0,0.0,3.57,4.19,68.02
2019-03-11 02:00:56,20.55,10.2,0.0,0.0,9.75,11.07,55.09
2019-03-11 03:00:56,20.2,9.13,0.0,0.0,8.95,10.25,49.99
2019-03-11 04:00:56,16.6,9.37,0.0,0.0,6.62,7.26,55.46
2019-03-11 05:00:56,18.91,13.96,0.0,0.0,6.06,6.65,58.0
2019-03-11 06:00:56,22.89,14.83,0.0,0.0,5.56,6.32,58.1
2019-03-11 07:00:56,24.51,18.71,0.0,0.0,7.43,7.6,52.07
2019-03-11 08:00:56,18.06,11.14,0.0,0.0,7.45,7.68,52.66
2019-03-11 09:00:56,13.08,8.49,0.0,0.0,9.74,10.88,51.39
2019-03-11 10:00:56,18.08,11.6,0.0,0.0,10.74,12.73,53.52
