Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 ),PM 2.5 ( µg/m3 )
2022-03-23 16:00:56,36.10666666666666,25.433999999999997,1239.0800000000002,22.952,35.738,66.7075,19.403333333333332
2022-03-23 17:00:56,35.29333333333333,24.574,1288.026,27.964,39.444,67.07,16.04
2022-03-23 18:00:56,38.794999999999995,24.264000000000003,1285.3880000000001,25.576,31.669999999999998,67.42500000000001,16.523333333333333
2022-03-23 19:00:56,42.17333333333334,55.284000000000006,1281.102,19.458000000000002,25.454,63.45,10.909999999999998
2022-03-23 20:00:56,55.225,36.346,1441.762,27.703999999999997,34.824,57.39,10.42
2022-03-23 21:00:56,66.57833333333333,33.274,1529.246,30.074,27.919999999999998,55.175,9.643333333333333
2022-03-23 22:00:56,65.52,34.468,1586.25,35.95,46.176,54.52,4.206666666666666
2022-03-23 23:00:56,54.498333333333335,32.064,1483.766,19.942,16.048,49.585,2.283333333333333
2022-03-24 00:00:56,42.00833333333333,28.186,1382.136,17.253999999999998,22.09,48.7175,2.9600000000000004
2022-03-24 01:00:56,32.83166666666667,20.544,1318.748,14.032,16.432,49.6625,1.9533333333333334
2022-03-24 02:00:56,26.566666666666666,16.788,1378.018,14.286000000000001,8.994,50.894999999999996,3.31
2022-03-24 03:00:56,23.838333333333335,14.924000000000001,1341.458,13.11,11.104,48.2275,1.25
2022-03-24 04:00:56,24.063333333333333,17.976000000000003,1356.058,13.978,18.086000000000002,47.9425,1.2533333333333332
2022-03-24 05:00:56,25.56833333333333,17.94,1285.714,11.978,10.634,48.052499999999995,1.6466666666666667
2022-03-24 06:00:56,22.930000000000003,17.296,1276.6100000000001,16.991999999999997,21.247999999999998,42.5,1.2066666666666668
2022-03-24 07:00:56,31.668333333333333,13.928,1275.104,21.878,19.556,40.3425,1.38
2022-03-24 08:00:56,35.63666666666666,17.196,1436.1779999999999,34.704,47.565999999999995,36.129999999999995,3.0
2022-03-24 09:00:56,44.25833333333333,15.297999999999998,1477.278,32.194,48.342,37.29,3.236666666666667
2022-03-24 10:00:56,36.306666666666665,13.342000000000002,1324.462,29.036,42.92999999999999,56.5075,6.613333333333333
2022-03-24 11:00:56,45.63666666666666,13.446000000000002,1223.95,16.072,21.124000000000002,60.17,7.329999999999999
2022-03-24 12:00:56,43.435,9.336,1202.604,9.943999999999999,14.538,62.87,13.37
2022-03-24 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
