Tarih,PM10 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2019-03-06 00:00:56,-,"679,70","4,04","10,82"
2019-03-06 01:00:56,-,"307,16","4,28","10,26"
2019-03-06 02:00:56,-,"222,53","4,73","10,37"
2019-03-06 03:00:56,-,"386,04","4,12","10,93"
2019-03-06 04:00:56,-,"367,61","3,79","9,62"
2019-03-06 05:00:56,-,"224,00","4,23","10,35"
2019-03-06 06:00:56,-,"350,39","3,82","9,41"
2019-03-06 07:00:56,-,"496,97","4,48","11,07"
2019-03-06 08:00:56,-,"525,23","3,55","9,71"
2019-03-06 09:00:56,-,"667,30","3,80","10,30"
2019-03-06 10:00:56,-,"705,74","3,25","9,55"
2019-03-06 11:00:56,-,"614,90","4,35","10,32"
2019-03-06 12:00:56,-,"527,07","4,65","11,02"
2019-03-06 13:00:56,-,"528,32","4,10","9,96"
2019-03-06 14:00:56,-,"896,17","4,17","11,20"
2019-03-06 15:00:56,-,"654,04","4,32","10,71"
2019-03-06 16:00:56,-,"561,57",-,-
2019-03-06 17:00:56,-,"591,89",-,-
2019-03-06 18:00:56,-,"317,14","48,94","53,30"
2019-03-06 19:00:56,-,"450,79","89,94","98,25"
2019-03-06 20:00:56,-,"543,76","86,31","85,36"
2019-03-06 21:00:56,-,"527,04","84,63","86,22"
2019-03-06 22:00:56,-,"462,73","76,14","74,81"
2019-03-06 23:00:56,-,"355,25","39,67","40,33"
2019-03-07 00:00:56,-,"333,01","41,23","42,08"
2019-03-07 01:00:56,-,"437,56","38,80","40,22"
2019-03-07 02:00:56,-,"448,48","13,67","17,07"
2019-03-07 03:00:56,-,"681,15","15,95","18,07"
2019-03-07 04:00:56,-,"765,90","17,53","21,29"
2019-03-07 05:00:56,-,"584,67","10,24","13,04"
2019-03-07 06:00:56,-,"548,66","5,32","8,43"
2019-03-07 07:00:56,-,"570,81","3,81","8,37"
2019-03-07 08:00:56,-,"672,44","13,97","19,47"
2019-03-07 09:00:56,-,"603,33","9,28","12,80"
2019-03-07 10:00:56,-,"500,36","18,88","25,82"
2019-03-07 11:00:56,-,"477,06","41,71","54,20"
2019-03-07 12:00:56,-,"198,04","26,10","32,77"
2019-03-07 13:00:56,-,"913,71","18,97","23,98"
2019-03-07 14:00:56,-,"1.223,42","38,26","50,56"
2019-03-07 15:00:56,-,"1.262,33","19,84","24,40"
2019-03-07 16:00:56,-,"1.244,58","9,89","13,40"
2019-03-07 17:00:56,-,"1.332,35","32,25","39,01"
2019-03-07 18:00:56,-,"1.444,94","37,48","42,26"
2019-03-07 19:00:56,-,"739,28","81,48","94,42"
2019-03-07 20:00:56,-,"884,02","123,09","167,26"
2019-03-07 21:00:56,-,"919,04","96,98","114,76"
2019-03-07 22:00:56,-,"892,03","68,55","70,49"
2019-03-07 23:00:56,-,"874,08","55,30","55,96"
2019-03-08 00:00:56,-,"758,10","29,64","31,79"
2019-03-08 01:00:56,-,"373,02","24,47","25,79"
2019-03-08 02:00:56,-,"216,36","17,44","19,76"
2019-03-08 03:00:56,-,"337,29","54,90","54,97"
2019-03-08 04:00:56,-,"343,77","53,76","56,66"
2019-03-08 05:00:56,-,"365,36","110,95","248,31"
2019-03-08 06:00:56,-,"368,53","107,12","198,26"
2019-03-08 07:00:56,-,"490,49","109,22","172,80"
2019-03-08 08:00:56,-,"537,72","107,83","210,44"
2019-03-08 09:00:56,-,"373,97","100,33","189,87"
2019-03-08 10:00:56,-,"1.492,68","127,93","532,63"
2019-03-08 11:00:56,-,"718,12","109,28","283,94"
2019-03-08 12:00:56,-,"209,78","83,29","139,95"
2019-03-08 13:00:56,-,"462,98","29,14","38,33"
2019-03-08 14:00:56,-,"478,26","21,43","27,45"
2019-03-08 15:00:56,-,"421,64","13,20","17,59"
2019-03-08 16:00:56,-,"442,54","7,16","11,27"
2019-03-08 17:00:56,-,"441,40","7,00","11,02"
2019-03-08 18:00:56,-,"454,34","10,58","13,24"
2019-03-08 19:00:56,-,"645,80","54,36","56,88"
2019-03-08 20:00:56,-,"833,96","84,53","84,62"
2019-03-08 21:00:56,-,"1.022,91","80,77","79,46"
2019-03-08 22:00:56,-,"1.063,50","90,36","92,28"
2019-03-08 23:00:56,-,"1.147,98","111,06","196,66"
2019-03-09 00:00:56,-,"1.164,93","114,34","177,56"
2019-03-09 01:00:56,-,"588,33","99,71","123,05"
2019-03-09 02:00:56,-,"437,36","91,72","91,15"
2019-03-09 03:00:56,-,"309,49","57,37","57,63"
2019-03-09 04:00:56,-,"446,41","40,83","41,94"
2019-03-09 05:00:56,-,"367,63","52,41","52,88"
2019-03-09 06:00:56,-,"302,88","33,22","35,12"
2019-03-09 07:00:56,-,"509,32","24,93","27,44"
2019-03-09 08:00:56,-,"567,52","25,61","28,89"
2019-03-09 09:00:56,-,"854,65","58,11","69,44"
2019-03-09 10:00:56,-,"563,20","30,66","36,48"
2019-03-09 11:00:56,-,"541,49","32,01","39,73"
2019-03-09 12:00:56,-,"535,46","37,08","47,01"
2019-03-09 13:00:56,-,"528,62","22,32","27,71"
2019-03-09 14:00:56,-,"579,12","25,66","30,90"
2019-03-09 15:00:56,-,"519,16","23,62","28,80"
2019-03-09 16:00:56,-,"514,40","25,51","30,96"
2019-03-09 17:00:56,-,"471,09","20,49","25,06"
2019-03-09 18:00:56,-,"480,22","39,21","43,48"
2019-03-09 19:00:56,-,"640,57","59,12","62,19"
2019-03-09 20:00:56,-,"714,65","99,31","98,28"
2019-03-09 21:00:56,-,"527,26","65,88","66,83"
2019-03-09 22:00:56,-,"984,81","78,45","83,76"
2019-03-09 23:00:56,-,"580,17","61,14","64,73"
2019-03-10 00:00:56,-,"583,53","47,70","48,71"
2019-03-10 01:00:56,-,"519,97","62,22","62,39"
2019-03-10 02:00:56,-,"428,00","40,63","41,51"
2019-03-10 03:00:56,-,"377,24","42,03","43,61"
2019-03-10 04:00:56,-,"305,68","48,34","49,42"
2019-03-10 05:00:56,-,"299,95","31,07","33,54"
2019-03-10 06:00:56,-,"348,49","36,83","38,37"
2019-03-10 07:00:56,-,"540,30","41,99","43,08"
2019-03-10 08:00:56,-,"502,27","31,75","33,83"
2019-03-10 09:00:56,-,"638,07","31,92","35,33"
2019-03-10 10:00:56,-,"892,37","40,91","48,86"
2019-03-10 11:00:56,-,"615,53","27,48","33,60"
2019-03-10 12:00:56,-,"604,37","27,93","33,94"
2019-03-10 13:00:56,-,"527,97","17,09","21,99"
2019-03-10 14:00:56,-,"555,01","12,57","17,89"
2019-03-10 15:00:56,-,"505,37","12,47","16,37"
2019-03-10 16:00:56,-,"536,87","20,18","27,24"
2019-03-10 17:00:56,-,"523,68","17,60","22,07"
2019-03-10 18:00:56,-,"506,53","17,21","20,44"
2019-03-10 19:00:56,-,"519,13","21,95","24,96"
2019-03-10 20:00:56,-,"594,13","28,00","29,59"
2019-03-10 21:00:56,-,"578,87","33,68","35,30"
2019-03-10 22:00:56,-,"684,15","32,53","35,18"
2019-03-10 23:00:56,-,"1.075,54","44,53","44,95"
2019-03-11 00:00:56,-,"953,72","57,22","85,86"
2019-03-11 01:00:56,-,-,"75,44","118,68"
2019-03-11 02:00:56,-,-,"22,87","24,97"
2019-03-11 03:00:56,-,-,"23,17","26,22"
2019-03-11 04:00:56,-,-,"27,18","30,33"
2019-03-11 05:00:56,-,-,"26,26","28,33"
2019-03-11 06:00:56,-,-,"27,26","29,51"
2019-03-11 07:00:56,-,"409,05","28,28","29,86"
2019-03-11 08:00:56,-,"490,97","48,19","49,19"
2019-03-11 09:00:56,-,"477,66","44,10","47,35"
2019-03-11 10:00:56,-,"533,07","26,20","30,55"
2019-03-11 11:00:56,-,"494,43","40,89","51,84"
2019-03-11 12:00:56,-,"526,05","24,96","32,24"
2019-03-11 13:00:56,-,"601,90","14,98","20,29"
2019-03-11 14:00:56,-,"582,92","14,90","19,76"
2019-03-11 15:00:56,-,"579,12","15,82","20,88"
2019-03-11 16:00:56,-,"576,78","19,21","23,29"
2019-03-11 17:00:56,-,"586,32","18,93","23,04"
2019-03-11 18:00:56,-,"613,24","29,48","32,99"
2019-03-11 19:00:56,-,"621,87","51,16","55,68"
2019-03-11 20:00:56,-,"607,32",-,-
2019-03-11 21:00:56,-,"905,04",-,-
2019-03-11 22:00:56,-,"707,44",-,-
2019-03-11 23:00:56,-,"751,92",-,-
2019-03-12 00:00:56,-,"672,84",-,-
2019-03-12 01:00:56,-,"499,08",-,-
2019-03-12 02:00:56,-,"461,13",-,-
2019-03-12 03:00:56,-,"530,68",-,-
2019-03-12 04:00:56,-,"577,73",-,-
2019-03-12 05:00:56,-,"570,14",-,-
2019-03-12 06:00:56,-,"686,67",-,-
2019-03-12 07:00:56,-,"475,05",-,-
2019-03-12 08:00:56,-,"425,47",-,-
2019-03-12 09:00:56,-,"248,52",-,-
2019-03-12 10:00:56,-,"208,60",-,-
2019-03-12 11:00:56,-,"295,16",-,-
2019-03-12 12:00:56,-,"338,19",-,-
2019-03-12 13:00:56,-,"504,94",-,-
2019-03-12 14:00:56,-,"507,62",-,-
2019-03-12 15:00:56,-,"559,16",-,-
2019-03-12 16:00:56,-,"411,31",-,-
2019-03-12 17:00:56,-,"487,91",-,-
2019-03-12 18:00:56,-,"501,32",-,-
2019-03-12 19:00:56,-,"513,58",-,-
2019-03-12 20:00:56,-,"501,76",-,-
2019-03-12 21:00:56,-,"509,34",-,-
2019-03-12 22:00:56,-,"551,95",-,-
2019-03-12 23:00:56,-,"319,76",-,-
2019-03-13 00:00:56,-,"360,83",-,-
2019-03-13 01:00:56,-,"673,73",-,-
2019-03-13 02:00:56,-,"812,65",-,-
2019-03-13 03:00:56,-,"907,40",-,-
2019-03-13 04:00:56,-,"792,47",-,-
2019-03-13 05:00:56,-,"925,16",-,-
2019-03-13 06:00:56,-,"882,40",-,-
2019-03-13 07:00:56,-,"558,87",-,-
2019-03-13 08:00:56,-,"552,63",-,-
2019-03-13 09:00:56,-,"554,19",-,-
2019-03-13 10:00:56,-,"547,01",-,-
2019-03-13 11:00:56,-,"368,34",-,-
2019-03-13 12:00:56,-,"405,03",-,-
2019-03-13 13:00:56,-,"450,95",-,-
2019-03-13 14:00:56,-,"634,02",-,-
2019-03-13 15:00:56,-,"747,88",-,-
2019-03-13 16:00:56,-,"678,29",-,-
2019-03-13 17:00:56,-,"732,96",-,-
2019-03-13 18:00:56,-,"547,89",-,-
2019-03-13 19:00:56,-,"620,33",-,-
2019-03-13 20:00:56,-,"620,40",-,-
2019-03-13 21:00:56,-,"673,48","6,07","10,60"
2019-03-13 22:00:56,-,"618,08","7,32","10,16"
2019-03-13 23:00:56,-,"591,01","6,77","10,04"
2019-03-14 00:00:56,-,"592,98","7,30","12,17"
2019-03-14 01:00:56,-,"539,29","7,86","10,01"
2019-03-14 02:00:56,-,"498,53","4,02","8,25"
2019-03-14 03:00:56,-,"524,83","3,54","5,86"
2019-03-14 04:00:56,-,"546,74","3,51","7,33"
2019-03-14 05:00:56,-,"585,06","3,44","6,05"
2019-03-14 06:00:56,-,"614,05","4,23","8,07"
2019-03-14 07:00:56,-,"517,00","4,26","7,30"
2019-03-14 08:00:56,-,"486,04","3,89","7,88"
2019-03-14 09:00:56,-,"505,64","4,14","7,33"
2019-03-14 10:00:56,-,"531,62","3,52","7,11"
2019-03-14 11:00:56,-,"418,35","3,84","7,95"
2019-03-14 12:00:56,-,"283,11","3,75","5,99"
2019-03-14 13:00:56,-,"387,90","3,92","7,62"
2019-03-14 14:00:56,-,"283,87","4,04","7,67"
2019-03-14 15:00:56,-,"292,93","3,15","6,55"
2019-03-14 16:00:56,-,"325,82","3,78","6,58"
2019-03-14 17:00:56,-,"255,20","4,26","7,72"
2019-03-14 18:00:56,-,"514,85","4,07","7,63"
2019-03-14 19:00:56,-,"551,95","4,15","7,52"
2019-03-14 20:00:56,-,"675,07","4,36","7,45"
2019-03-14 21:00:56,-,"757,74","4,93","8,05"
2019-03-14 22:00:56,-,"767,27","3,15","6,78"
2019-03-14 23:00:56,-,"746,93","4,33","7,04"
2019-03-15 00:00:56,-,"760,53","4,00","8,03"
2019-03-15 01:00:56,-,"552,91","4,14","7,74"
2019-03-15 02:00:56,-,"580,30","3,33","7,03"
2019-03-15 03:00:56,-,"538,97","4,31","7,36"
2019-03-15 04:00:56,-,"434,29","4,17","8,48"
2019-03-15 05:00:56,-,"439,44","3,27","7,46"
2019-03-15 06:00:56,-,"451,55","3,71","7,66"
2019-03-15 07:00:56,-,"466,02","3,72","8,76"
2019-03-15 08:00:56,-,"524,88","3,15","6,83"
2019-03-15 09:00:56,-,"500,77","4,13","7,33"
2019-03-15 10:00:56,-,"505,25","4,39","6,82"
2019-03-15 11:00:56,-,"503,21","3,10","7,37"
